Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0,5.00E+03,5.00E+03,9.00E+01,0.00E+00,0.00E+00,0.00E+00
2,0.011,5.00E+03,5.00E+03,8.99E+01,8.04E-06,-4.27E-07,-4.26E-07
3,0.023,5.00E+03,5.00E+03,8.49E+01,2.20E-05,-4.14E-05,-4.14E-05
4,0.035,5.00E+03,5.00E+03,8.48E+01,2.44E-05,-6.35E-05,-6.35E-05
5,0.04,5.00E+03,5.00E+03,8.48E+01,2.54E-05,-7.19E-05,-7.19E-05
6,0.046,5.00E+03,5.00E+03,8.48E+01,2.65E-05,-8.22E-05,-8.22E-05
7,0.056,5.00E+03,5.00E+03,5.66E+01,9.96E-02,-4.15E-04,-4.15E-04
8,0.066,5.00E+03,5.00E+03,5.46E+01,1.27E-04,-4.91E-04,-4.91E-04
9,0.077,5.00E+03,5.00E+03,5.45E+01,1.46E-04,-5.75E-04,-5.75E-04
10,0.08,5.00E+03,5.00E+03,5.45E+01,1.52E-04,-5.98E-04,-5.98E-04
11,0.091,5.00E+03,5.00E+03,5.46E+01,1.71E-04,-6.84E-04,-6.84E-04
12,0.103,5.00E+03,5.00E+03,5.46E+01,1.90E-04,-7.70E-04,-7.70E-04
13,0.114,5.00E+03,5.00E+03,5.48E+01,2.09E-04,-8.56E-04,-8.56E-04
14,0.12,5.00E+03,5.00E+03,5.48E+01,2.19E-04,-8.99E-04,-8.99E-04
15,0.126,5.00E+03,5.00E+03,5.49E+01,2.28E-04,-9.42E-04,-9.42E-04
16,0.137,5.00E+03,5.00E+03,5.51E+01,2.48E-04,-1.03E-03,-1.03E-03
17,0.149,5.00E+03,5.00E+03,5.53E+01,2.67E-04,-1.11E-03,-1.11E-03
18,0.16,4.99E+03,5.00E+03,5.56E+01,2.86E-04,-1.20E-03,-1.20E-03
19,0.16,4.99E+03,5.00E+03,5.56E+01,2.86E-04,-1.20E-03,-1.20E-03
20,0.171,4.99E+03,5.00E+03,5.58E+01,3.05E-04,-1.29E-03,-1.29E-03
21,0.183,4.99E+03,5.00E+03,5.62E+01,3.24E-04,-1.38E-03,-1.38E-03
22,0.194,4.99E+03,5.00E+03,5.66E+01,3.43E-04,-1.46E-03,-1.46E-03
23,0.2,4.99E+03,5.00E+03,5.68E+01,3.53E-04,-1.51E-03,-1.51E-03
24,0.206,4.99E+03,5.00E+03,5.70E+01,3.62E-04,-1.55E-03,-1.55E-03
25,0.217,4.99E+03,5.00E+03,5.75E+01,3.81E-04,-1.64E-03,-1.64E-03
26,0.229,4.99E+03,5.00E+03,5.80E+01,4.00E-04,-1.73E-03,-1.73E-03
27,0.24,4.99E+03,5.00E+03,5.85E+01,4.19E-04,-1.81E-03,-1.81E-03
28,0.24,4.99E+03,5.00E+03,5.85E+01,4.19E-04,-1.81E-03,-1.81E-03
29,0.251,4.99E+03,5.00E+03,5.91E+01,4.38E-04,-1.90E-03,-1.90E-03
30,0.263,4.98E+03,5.00E+03,5.97E+01,4.57E-04,-1.99E-03,-1.99E-03
31,0.274,4.98E+03,5.00E+03,6.04E+01,4.76E-04,-2.08E-03,-2.08E-03
32,0.28,4.98E+03,5.00E+03,6.07E+01,4.85E-04,-2.13E-03,-2.13E-03
33,0.286,4.98E+03,5.00E+03,6.11E+01,4.94E-04,-2.17E-03,-2.17E-03
34,0.297,4.98E+03,5.00E+03,6.18E+01,5.13E-04,-2.26E-03,-2.26E-03
35,0.309,4.98E+03,5.00E+03,6.25E+01,5.31E-04,-2.35E-03,-2.35E-03
36,0.32,4.98E+03,5.00E+03,6.32E+01,5.49E-04,-2.44E-03,-2.44E-03
37,0.32,4.98E+03,5.00E+03,6.32E+01,5.50E-04,-2.44E-03,-2.44E-03
38,0.331,4.98E+03,5.00E+03,6.40E+01,5.67E-04,-2.53E-03,-2.53E-03
39,0.343,4.97E+03,5.00E+03,6.48E+01,5.86E-04,-2.62E-03,-2.62E-03
40,0.354,4.97E+03,5.00E+03,6.56E+01,6.03E-04,-2.71E-03,-2.71E-03
41,0.36,4.97E+03,5.00E+03,6.60E+01,6.12E-04,-2.76E-03,-2.76E-03
42,0.366,4.97E+03,5.00E+03,6.64E+01,6.20E-04,-2.81E-03,-2.81E-03
43,0.377,4.97E+03,5.00E+03,6.71E+01,6.39E-04,-2.90E-03,-2.90E-03
44,0.389,4.97E+03,5.00E+03,6.79E+01,6.56E-04,-2.99E-03,-2.99E-03
45,0.4,4.96E+03,5.00E+03,6.87E+01,6.72E-04,-3.08E-03,-3.08E-03
46,0.4,4.96E+03,5.00E+03,6.87E+01,6.73E-04,-3.08E-03,-3.08E-03
47,0.411,4.96E+03,5.00E+03,6.95E+01,6.88E-04,-3.18E-03,-3.18E-03
48,0.423,4.96E+03,5.00E+03,7.02E+01,7.02E-04,-3.27E-03,-3.27E-03
49,0.434,4.96E+03,5.00E+03,7.10E+01,7.18E-04,-3.37E-03,-3.37E-03
50,0.44,4.96E+03,5.00E+03,7.13E+01,7.26E-04,-3.41E-03,-3.41E-03
51,0.446,4.96E+03,5.00E+03,7.17E+01,7.32E-04,-3.46E-03,-3.46E-03
52,0.457,4.95E+03,5.00E+03,7.24E+01,6.66E-04,-3.56E-03,-3.56E-03
53,0.467,4.95E+03,5.00E+03,7.23E+01,6.74E-04,-3.64E-03,-3.64E-03
54,0.478,4.95E+03,5.00E+03,7.23E+01,7.22E-04,-3.74E-03,-3.74E-03
55,0.48,4.95E+03,5.00E+03,7.23E+01,2.41E-02,-3.76E-03,-3.76E-03
56,0.488,4.95E+03,5.00E+03,7.24E+01,6.46E-04,-3.82E-03,-3.82E-03
57,0.498,4.95E+03,5.00E+03,7.22E+01,7.35E-04,-3.93E-03,-3.93E-03
58,0.508,4.94E+03,5.00E+03,7.22E+01,4.14E-03,-4.01E-03,-4.01E-03
59,0.518,4.94E+03,5.00E+03,7.30E+01,2.78E-04,-3.69E-03,-3.69E-03
60,0.52,4.94E+03,5.00E+03,7.30E+01,7.35E-04,-3.70E-03,-3.70E-03
61,0.528,4.94E+03,5.00E+03,7.31E+01,4.37E-03,-3.76E-03,-3.76E-03
62,0.538,4.94E+03,5.00E+03,7.30E+01,7.31E-04,-3.85E-03,-3.85E-03
63,0.549,4.93E+03,5.00E+03,7.30E+01,7.58E-04,-3.93E-03,-3.93E-03
64,0.559,4.93E+03,5.00E+03,7.32E+01,7.51E-04,-3.98E-03,-3.98E-03
65,0.56,4.93E+03,5.00E+03,7.32E+01,7.57E-04,-3.99E-03,-3.99E-03
66,0.569,4.93E+03,5.00E+03,7.34E+01,7.61E-04,-4.02E-03,-4.02E-03
67,0.579,4.93E+03,5.00E+03,7.34E+01,1.04E-02,-4.12E-03,-4.12E-03
68,0.589,4.92E+03,5.00E+03,7.33E+01,6.27E-04,-4.22E-03,-4.22E-03
69,0.599,4.92E+03,5.00E+03,7.33E+01,-1.02E-02,-4.31E-03,-4.31E-03
70,0.6,4.92E+03,5.00E+03,7.33E+01,-2.43E-02,-4.30E-03,-4.30E-03
71,0.609,4.92E+03,5.00E+03,7.33E+01,8.23E-04,-4.37E-03,-4.37E-03
72,0.619,4.92E+03,5.00E+03,7.35E+01,8.26E-04,-4.42E-03,-4.42E-03
73,0.629,4.91E+03,5.00E+03,7.35E+01,8.37E-04,-4.50E-03,-4.50E-03
74,0.639,4.91E+03,5.00E+03,7.35E+01,9.41E-04,-4.62E-03,-4.62E-03
75,0.64,4.91E+03,5.00E+03,7.35E+01,2.63E-03,-4.62E-03,-4.62E-03
76,0.649,4.91E+03,5.00E+03,7.36E+01,-7.29E-02,-4.67E-03,-4.67E-03
77,0.661,4.90E+03,5.00E+03,7.42E+01,-3.18E-01,-4.40E-03,-4.40E-03
78,0.671,4.90E+03,5.00E+03,7.41E+01,-8.93E-03,-4.50E-03,-4.50E-03
79,0.68,4.90E+03,5.00E+03,7.41E+01,7.59E-04,-4.57E-03,-4.57E-03
80,0.681,4.90E+03,5.00E+03,7.42E+01,1.81E-04,-4.58E-03,-4.58E-03
81,0.691,4.89E+03,5.00E+03,7.41E+01,1.35E-02,-4.67E-03,-4.67E-03
82,0.702,4.89E+03,5.00E+03,7.41E+01,7.20E-04,-4.79E-03,-4.79E-03
83,0.712,4.89E+03,5.00E+03,7.42E+01,7.96E-04,-4.89E-03,-4.89E-03
84,0.72,4.89E+03,5.00E+03,7.42E+01,8.03E-04,-4.96E-03,-4.96E-03
85,0.723,4.89E+03,5.00E+03,7.42E+01,1.13E-03,-4.99E-03,-4.99E-03
86,0.733,4.88E+03,5.00E+03,7.43E+01,8.14E-04,-5.06E-03,-5.06E-03
87,0.743,4.88E+03,5.00E+03,7.43E+01,8.15E-04,-5.16E-03,-5.16E-03
88,0.753,4.88E+03,5.00E+03,7.43E+01,-3.94E-03,-5.24E-03,-5.24E-03
89,0.76,4.87E+03,5.00E+03,7.44E+01,1.26E-02,-5.31E-03,-5.31E-03
90,0.764,4.87E+03,5.00E+03,7.45E+01,8.50E-04,-5.32E-03,-5.32E-03
91,0.774,4.87E+03,5.00E+03,7.47E+01,2.05E-03,-5.34E-03,-5.34E-03
92,0.784,4.86E+03,5.00E+03,7.47E+01,3.54E-03,-5.47E-03,-5.47E-03
93,0.794,4.86E+03,5.00E+03,7.48E+01,9.02E-04,-5.56E-03,-5.56E-03
94,0.8,4.86E+03,5.00E+03,7.49E+01,1.15E-03,-5.61E-03,-5.61E-03
95,0.804,4.86E+03,5.00E+03,7.48E+01,9.31E-04,-5.68E-03,-5.68E-03
96,0.814,4.85E+03,5.00E+03,7.48E+01,9.14E-04,-5.80E-03,-5.80E-03
97,0.824,4.85E+03,5.00E+03,7.46E+01,9.63E-04,-5.96E-03,-5.96E-03
98,0.834,4.85E+03,5.00E+03,7.48E+01,-5.26E-03,-6.02E-03,-6.02E-03
99,0.84,4.85E+03,5.00E+03,7.48E+01,1.12E-03,-6.07E-03,-6.07E-03
100,0.845,4.84E+03,5.00E+03,7.74E+01,8.13E-03,-4.57E-03,-4.57E-03
101,0.855,4.84E+03,5.00E+03,7.74E+01,4.38E-04,-4.67E-03,-4.67E-03
102,0.865,4.84E+03,5.00E+03,7.58E+01,4.70E-04,-4.92E-03,-4.92E-03
103,0.875,4.83E+03,5.00E+03,7.60E+01,-6.50E-03,-4.97E-03,-4.97E-03
104,0.88,4.83E+03,5.00E+03,7.59E+01,3.38E-03,-5.03E-03,-5.03E-03
105,0.885,4.83E+03,5.00E+03,7.59E+01,4.07E-03,-5.08E-03,-5.08E-03
106,0.895,4.82E+03,5.00E+03,7.61E+01,7.34E-04,-5.09E-03,-5.09E-03
107,0.905,4.82E+03,5.00E+03,7.62E+01,1.03E-04,-5.15E-03,-5.15E-03
108,0.915,4.82E+03,5.00E+03,7.62E+01,3.70E-04,-5.25E-03,-5.25E-03
109,0.92,4.81E+03,5.00E+03,7.61E+01,1.58E-02,-5.33E-03,-5.33E-03
110,0.925,4.81E+03,5.00E+03,7.61E+01,4.98E-04,-5.36E-03,-5.36E-03
111,0.935,4.81E+03,5.00E+03,7.61E+01,1.27E-04,-5.46E-03,-5.46E-03
112,0.945,4.80E+03,5.00E+03,7.61E+01,-5.84E-04,-5.54E-03,-5.54E-03
113,0.955,4.80E+03,5.00E+03,7.62E+01,2.56E-03,-5.60E-03,-5.60E-03
114,0.96,4.80E+03,5.00E+03,7.62E+01,5.24E-04,-5.65E-03,-5.65E-03
115,0.965,4.80E+03,5.00E+03,7.63E+01,2.80E-04,-5.69E-03,-5.69E-03
116,0.976,4.79E+03,5.00E+03,7.66E+01,5.92E-04,-5.76E-03,-5.76E-03
117,0.986,4.79E+03,5.00E+03,7.67E+01,2.44E-03,-5.89E-03,-5.89E-03
118,0.996,4.78E+03,5.00E+03,7.69E+01,1.01E-02,-5.91E-03,-5.91E-03
119,1,4.78E+03,5.00E+03,7.69E+01,5.38E-04,-5.95E-03,-5.95E-03
120,1.006,4.78E+03,5.00E+03,7.69E+01,5.40E-04,-6.02E-03,-6.02E-03
121,1.016,4.77E+03,5.00E+03,7.70E+01,-3.62E-03,-6.14E-03,-6.14E-03
122,1.026,4.77E+03,5.00E+03,7.71E+01,5.58E-04,-6.20E-03,-6.20E-03
123,1.036,4.76E+03,5.00E+03,7.71E+01,5.71E-04,-6.32E-03,-6.32E-03
124,1.04,4.76E+03,5.00E+03,7.72E+01,5.43E-04,-6.34E-03,-6.34E-03
125,1.046,4.76E+03,5.00E+03,7.72E+01,3.49E-03,-6.41E-03,-6.41E-03
126,1.056,4.76E+03,5.00E+03,7.72E+01,5.87E-04,-6.53E-03,-6.53E-03
127,1.067,4.75E+03,5.00E+03,7.73E+01,1.17E-03,-6.60E-03,-6.60E-03
128,1.077,4.75E+03,5.00E+03,7.73E+01,5.22E-04,-6.67E-03,-6.67E-03
129,1.08,4.74E+03,5.00E+03,7.73E+01,5.64E-04,-6.76E-03,-6.76E-03
130,1.087,4.74E+03,5.00E+03,7.72E+01,5.74E-04,-6.83E-03,-6.83E-03
131,1.097,4.74E+03,5.00E+03,7.73E+01,5.78E-04,-6.89E-03,-6.89E-03
132,1.107,4.73E+03,5.00E+03,7.73E+01,-3.01E-04,-7.05E-03,-7.05E-03
133,1.117,4.73E+03,5.00E+03,7.72E+01,5.17E-04,-7.21E-03,-7.21E-03
