Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0.000,5.0000E+03,5.0000E+03,9.0000E+01,0.0000E+00,0.0000E+00,0.0000E+00
2,0.011,5.0000E+03,5.0000E+03,9.0380E+01,-5.9286E-02,-3.5466E-06,-3.5466E-06
3,0.021,4.9999E+03,5.0000E+03,9.2360E+01,4.9060E-04,2.0399E-05,2.0404E-05
4,0.032,4.9998E+03,5.0000E+03,9.2145E+01,4.2278E-03,2.7195E-05,2.7195E-05
5,0.040,4.9997E+03,5.0000E+03,9.2012E+01,3.3783E-02,3.2329E-05,3.2329E-05
6,0.042,4.9996E+03,5.0000E+03,9.1981E+01,1.3922E-03,3.3016E-05,3.3026E-05
7,0.052,4.9994E+03,5.0000E+03,9.1866E+01,2.9571E-04,3.8594E-05,3.8595E-05
8,0.062,4.9992E+03,5.0000E+03,9.1826E+01,2.2392E-03,4.5089E-05,4.5087E-05
9,0.072,4.9989E+03,5.0000E+03,9.1637E+01,-8.5439E-05,4.6979E-05,4.6961E-05
10,0.080,4.9986E+03,5.0000E+03,9.1822E+01,4.4871E-03,5.8358E-05,5.8358E-05
11,0.082,4.9985E+03,5.0000E+03,9.1803E+01,-2.7549E-02,5.8962E-05,5.8969E-05
12,0.092,4.9982E+03,5.0000E+03,9.1253E+01,4.1528E-05,4.2666E-05,4.2654E-05
13,0.102,4.9977E+03,5.0000E+03,9.1115E+01,5.5369E-05,4.2362E-05,4.2362E-05
14,0.112,4.9972E+03,5.0000E+03,9.1190E+01,-5.8919E-03,4.9633E-05,4.9623E-05
15,0.120,4.9968E+03,5.0000E+03,9.1188E+01,1.9735E-03,5.2943E-05,5.2943E-05
16,0.122,4.9967E+03,5.0000E+03,9.1188E+01,3.7114E-02,5.3954E-05,5.3962E-05
17,0.133,4.9961E+03,5.0000E+03,9.1148E+01,2.0310E-03,5.6546E-05,5.6546E-05
18,0.143,4.9955E+03,5.0000E+03,9.1115E+01,6.7271E-05,5.9164E-05,5.9168E-05
19,0.153,4.9949E+03,5.0000E+03,9.1213E+01,7.4395E-05,6.8934E-05,6.8934E-05
20,0.160,4.9944E+03,5.0000E+03,9.1170E+01,7.7110E-05,6.9651E-05,6.9651E-05
21,0.163,4.9942E+03,5.0000E+03,9.1208E+01,7.0630E-03,7.3128E-05,7.3139E-05
22,0.173,4.9935E+03,5.0000E+03,9.1321E+01,8.2108E-05,8.4662E-05,8.4662E-05
23,0.183,4.9927E+03,5.0000E+03,9.1454E+01,1.2086E-04,9.8709E-05,9.8709E-05
24,0.193,4.9919E+03,5.0000E+03,9.1598E+01,-3.7537E-03,1.1444E-04,1.1444E-04
25,0.200,4.9912E+03,5.0000E+03,9.1514E+01,9.1541E-05,1.1246E-04,1.1246E-04
26,0.203,4.9910E+03,5.0000E+03,9.1510E+01,1.2959E-03,1.1392E-04,1.1392E-04
27,0.214,4.9900E+03,5.0000E+03,9.1649E+01,9.5773E-05,1.3130E-04,1.3130E-04
28,0.224,4.9890E+03,5.0000E+03,9.1580E+01,-6.3015E-03,1.3174E-04,1.3173E-04
29,0.234,4.9880E+03,5.0000E+03,9.1672E+01,1.0390E-04,1.4568E-04,1.4568E-04
30,0.240,4.9874E+03,5.0000E+03,9.1702E+01,1.1728E-04,1.5201E-04,1.5201E-04
31,0.244,4.9869E+03,5.0000E+03,9.1844E+01,3.1081E-02,1.6763E-04,1.6763E-04
32,0.254,4.9859E+03,5.0000E+03,9.1947E+01,-2.6457E-02,1.8439E-04,1.8438E-04
33,0.264,4.9847E+03,5.0000E+03,9.1950E+01,-2.2340E-03,1.9210E-04,1.9207E-04
34,0.274,4.9835E+03,5.0000E+03,9.1858E+01,1.1994E-04,1.9019E-04,1.9019E-04
35,0.280,4.9828E+03,5.0000E+03,9.1754E+01,2.1343E-04,1.8358E-04,1.8358E-04
36,0.284,4.9823E+03,5.0000E+03,9.1773E+01,8.7460E-03,1.8846E-04,1.8846E-04
37,0.294,4.9810E+03,5.0000E+03,9.1892E+01,-1.2362E-02,2.0839E-04,2.0837E-04
38,0.304,4.9797E+03,5.0000E+03,9.1888E+01,1.3984E-04,2.1517E-04,2.1517E-04
39,0.314,4.9784E+03,5.0000E+03,9.1905E+01,2.0391E-06,2.2416E-04,2.2416E-04
40,0.320,4.9776E+03,5.0000E+03,9.1900E+01,-9.2088E-03,2.2762E-04,2.2762E-04
41,0.324,4.9770E+03,5.0000E+03,9.1884E+01,4.0755E-03,2.2884E-04,2.2884E-04
42,0.334,4.9755E+03,5.0000E+03,9.1858E+01,-1.9371E-03,2.3271E-04,2.3271E-04
43,0.345,4.9740E+03,5.0000E+03,9.1887E+01,1.4876E-04,2.4384E-04,2.4384E-04
44,0.355,4.9725E+03,5.0000E+03,9.1995E+01,-1.6345E-02,2.6571E-04,2.6567E-04
