Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
56,0.440,1.6682E+02,9.7034E+01,4.6529E-05,1.9451E-02,-6.2286E+01,-6.2286E+01
57,0.450,1.6709E+02,9.7310E+01,3.6400E-04,-5.4125E-01,-6.3690E+01,-6.3690E+01
58,0.460,1.6738E+02,9.7591E+01,-1.2898E-05,3.5874E-02,-6.5121E+01,-6.5121E+01
59,0.470,1.6766E+02,9.7878E+01,2.3494E-04,-1.4678E-04,-6.6727E+01,-6.6727E+01
60,0.480,1.6795E+02,9.8166E+01,1.2337E-04,2.7493E-03,-6.7866E+01,-6.7866E+01
61,0.480,1.6795E+02,9.8172E+01,1.4967E-04,4.1771E-02,-6.7820E+01,-6.7820E+01
62,0.490,1.6825E+02,9.8471E+01,3.7682E-05,-1.4646E-02,-6.9430E+01,-6.9430E+01
63,0.500,1.6856E+02,9.8777E+01,2.7902E-04,-6.8113E-04,-7.0958E+01,-7.0958E+01
64,0.510,1.6887E+02,9.9089E+01,9.9231E-05,2.9334E-03,-7.2087E+01,-7.2087E+01
65,0.520,1.6918E+02,9.9398E+01,1.2840E-06,-1.0653E-03,-7.3650E+01,-7.3650E+01
66,0.520,1.6919E+02,9.9404E+01,9.0217E-07,-1.8797E-02,-7.3609E+01,-7.3609E+01
67,0.530,1.6951E+02,9.9729E+01,8.6061E-05,-5.0292E-04,-7.5154E+01,-7.5154E+01
68,0.540,1.6984E+02,1.0006E+02,2.7931E-04,-9.3083E-02,-7.6597E+01,-7.6597E+01
69,0.550,1.7018E+02,1.0040E+02,3.6179E-04,-7.7438E-03,-7.7818E+01,-7.7818E+01
70,0.560,1.7051E+02,1.0073E+02,1.5424E-04,-8.7711E-02,-7.9169E+01,-7.9169E+01
71,0.560,1.7052E+02,1.0074E+02,1.9639E-04,3.8071E-03,-7.9165E+01,-7.9165E+01
72,0.570,1.7087E+02,1.0109E+02,1.1677E-04,1.2496E-03,-8.0640E+01,-8.0640E+01
73,0.580,1.7122E+02,1.0144E+02,8.7896E-05,5.1501E-03,-8.2055E+01,-8.2055E+01
74,0.590,1.7158E+02,1.0180E+02,7.1325E-05,-3.0401E-02,-8.3473E+01,-8.3473E+01
75,0.600,1.7194E+02,1.0216E+02,1.1267E-04,1.3662E-03,-8.4978E+01,-8.4978E+01
76,0.600,1.7195E+02,1.0217E+02,1.3523E-04,-2.2253E-02,-8.4891E+01,-8.4891E+01
77,0.610,1.7232E+02,1.0254E+02,8.5290E-05,-5.9912E-01,-8.6259E+01,-8.6259E+01
78,0.620,1.7270E+02,1.0292E+02,2.3025E-04,-2.9826E-02,-8.7631E+01,-8.7631E+01
79,0.630,1.7309E+02,1.0331E+02,3.2258E-04,3.2308E-04,-8.9024E+01,-8.9024E+01
80,0.640,1.7347E+02,1.0369E+02,3.4542E-04,1.7580E-02,-9.0778E+01,-9.0778E+01
81,0.640,1.7348E+02,1.0370E+02,2.7998E-04,-2.5257E-01,-9.0821E+01,-9.0821E+01
82,0.650,1.7388E+02,1.0410E+02,1.2735E-04,-1.3697E-02,-9.2145E+01,-9.2145E+01
83,0.660,1.7428E+02,1.0451E+02,4.8317E-05,1.0379E-01,-9.3431E+01,-9.3431E+01
84,0.670,1.7469E+02,1.0492E+02,1.8675E-04,3.9254E-04,-9.4766E+01,-9.4766E+01
85,0.680,1.7510E+02,1.0532E+02,3.9097E-04,4.3526E-03,-9.6198E+01,-9.6198E+01
86,0.680,1.7511E+02,1.0533E+02,3.3304E-04,6.2303E-05,-9.6529E+01,-9.6529E+01
87,0.690,1.7553E+02,1.0575E+02,5.3814E-05,2.3329E-02,-9.7729E+01,-9.7729E+01
88,0.700,1.7596E+02,1.0618E+02,1.6500E-04,-1.4933E-01,-9.9035E+01,-9.9035E+01
89,0.710,1.7640E+02,1.0662E+02,3.2324E-04,1.0260E-02,-1.0076E+02,-1.0076E+02
90,0.720,1.7683E+02,1.0705E+02,7.2347E-05,1.0606E-03,-1.0203E+02,-1.0203E+02
91,0.720,1.7684E+02,1.0706E+02,6.8368E-05,6.1002E-04,-1.0196E+02,-1.0196E+02
92,0.730,1.7729E+02,1.0751E+02,3.7823E-04,7.8042E-02,-1.0312E+02,-1.0312E+02
93,0.740,1.7774E+02,1.0796E+02,-2.3043E-05,1.3812E-02,-1.0476E+02,-1.0476E+02
94,0.750,1.7820E+02,1.0842E+02,3.7733E-04,1.9849E-03,-1.0618E+02,-1.0618E+02
95,0.760,1.7865E+02,1.0887E+02,6.0892E-05,-2.8350E-02,-1.0756E+02,-1.0756E+02
96,0.760,1.7867E+02,1.0888E+02,5.9806E-05,-1.0455E-01,-1.0758E+02,-1.0758E+02
97,0.770,1.7914E+02,1.0936E+02,1.6789E-04,-4.6349E-02,-1.0920E+02,-1.0920E+02
98,0.780,1.7962E+02,1.0984E+02,1.5080E-04,9.8289E-04,-1.1032E+02,-1.1032E+02
99,0.790,1.8010E+02,1.1032E+02,1.4974E-05,4.9762E-03,-1.1195E+02,-1.1195E+02
100,0.800,1.8058E+02,1.1079E+02,3.9788E-04,-8.0421E-02,-1.1317E+02,-1.1317E+02
101,0.800,1.8060E+02,1.1081E+02,2.8786E-04,2.6096E-01,-1.1351E+02,-1.1351E+02
102,0.810,1.8109E+02,1.1131E+02,2.7195E-04,-4.5533E-01,-1.1451E+02,-1.1451E+02
103,0.820,1.8160E+02,1.1181E+02,1.8744E-05,2.5964E-01,-1.1605E+02,-1.1605E+02
104,0.830,1.8211E+02,1.1232E+02,6.6852E-05,-1.0610E-02,-1.1761E+02,-1.1761E+02
105,0.840,1.8260E+02,1.1282E+02,2.7070E-04,-2.1568E-01,-1.1909E+02,-1.1909E+02
106,0.840,1.8262E+02,1.1284E+02,1.5434E-04,-5.8249E-01,-1.1914E+02,-1.1914E+02
107,0.850,1.8314E+02,1.1336E+02,2.7466E-04,-4.1196E-02,-1.2060E+02,-1.2060E+02
108,0.860,1.8367E+02,1.1389E+02,3.6135E-04,-1.2610E-02,-1.2180E+02,-1.2180E+02
109,0.870,1.8420E+02,1.1442E+02,2.6545E-04,2.0412E-02,-1.2287E+02,-1.2287E+02
110,0.880,1.8473E+02,1.1493E+02,8.9602E-05,-5.1008E-01,-1.2440E+02,-1.2440E+02
111,0.880,1.8475E+02,1.1495E+02,2.1132E-04,-6.1450E-01,-1.2436E+02,-1.2436E+02
112,0.890,1.8530E+02,1.1550E+02,2.4639E-04,-1.0672E-04,-1.2581E+02,-1.2581E+02
