Frame,Time,LinearDisplacement11,LinearDisplacement12,AngularDisplacement6,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0.000,5.0000E+03,5.0000E+03,2.1392E-10,0.0000E+00,0.0000E+00,0.0000E+00
2,0.010,5.0000E+03,5.0000E+03,-4.9231E-03,-9.5896E-01,2.0580E-02,-2.0049E+00
3,0.020,5.0000E+03,5.0000E+03,-1.9412E-02,-1.9164E+00,4.0362E-02,-4.0143E+00
4,0.030,5.0000E+03,5.0000E+03,-4.3482E-02,-2.8776E+00,5.9278E-02,-6.0216E+00
5,0.040,5.0000E+03,5.0000E+03,-7.7023E-02,-3.8155E+00,7.7096E-02,-8.0000E+00
6,0.040,5.0000E+03,5.0000E+03,-7.7469E-02,-3.8367E+00,7.7300E-02,-8.0232E+00
7,0.050,5.0000E+03,5.0000E+03,-1.2063E-01,-4.8117E+00,9.4469E-02,-1.0023E+01
8,0.060,5.0000E+03,5.0000E+03,-1.7346E-01,-5.7603E+00,1.1085E-01,-1.2029E+01
9,0.070,5.0000E+03,5.0000E+03,-2.3572E-01,-6.7118E+00,1.2634E-01,-1.4030E+01
10,0.080,5.0000E+03,4.9999E+03,-3.0639E-01,-7.6434E+00,1.4078E-01,-1.6000E+01
11,0.080,5.0000E+03,4.9999E+03,-3.0798E-01,-7.6614E+00,1.4108E-01,-1.6042E+01
12,0.090,5.0000E+03,4.9999E+03,-3.9029E-01,-8.6227E+00,1.5503E-01,-1.8063E+01
13,0.100,5.0000E+03,4.9999E+03,-4.8184E-01,-9.5803E+00,1.6806E-01,-2.0074E+01
14,0.110,5.0000E+03,4.9999E+03,-5.8254E-01,-1.0549E+01,1.8019E-01,-2.2075E+01
15,0.120,5.0000E+03,4.9999E+03,-6.8825E-01,-1.1343E+01,1.9105E-01,-2.3998E+01
16,0.120,5.0000E+03,4.9999E+03,-6.9298E-01,-1.1520E+01,1.9150E-01,-2.4081E+01
17,0.130,5.0000E+03,4.9999E+03,-8.1279E-01,-1.2381E+01,2.0195E-01,-2.6083E+01
18,0.140,5.0000E+03,4.9998E+03,-9.4207E-01,-1.3397E+01,2.1154E-01,-2.8083E+01
19,0.150,5.0000E+03,4.9998E+03,-1.0810E+00,-1.4339E+01,2.2031E-01,-3.0084E+01
20,0.160,5.0001E+03,4.9998E+03,-1.2224E+00,-1.5249E+01,2.2788E-01,-3.1993E+01
