Frame,Time,LinearDisplacement15,LinearDisplacement16,AngularDisplacement9,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0,4.99E+02,4.15E+02,4.90E-18,0.00E+00,0.00E+00,0.00E+00
2,0.01,4.99E+02,4.15E+02,-4.17E-03,-7.70E-01,-3.18E+00,5.29E-08
3,0.02,4.99E+02,4.15E+02,-1.86E-02,-1.95E+00,-6.30E+00,2.31E-09
4,0.03,4.99E+02,4.15E+02,-4.02E-02,-2.66E+00,-9.36E+00,-4.07E-09
5,0.04,4.99E+02,4.15E+02,-7.70E-02,-3.42E+00,-1.24E+01,0.00E+00
6,0.04,4.99E+02,4.15E+02,-7.71E-02,-3.41E+00,-1.24E+01,5.06E-08
7,0.05,4.99E+02,4.15E+02,-1.18E-01,-3.39E+00,-1.53E+01,1.42E-09
8,0.06,4.99E+02,4.15E+02,-1.64E-01,-5.06E+00,-1.82E+01,4.67E-08
9,0.07,4.99E+02,4.15E+02,-2.22E-01,-5.78E+00,-2.11E+01,-4.62E-08
10,0.08,4.99E+02,4.15E+02,-2.85E-01,-6.63E+00,-2.39E+01,1.24E-17
11,0.08,4.99E+02,4.15E+02,-2.85E-01,-6.64E+00,-2.39E+01,1.61E-08
12,0.09,4.99E+02,4.15E+02,-3.55E-01,-7.39E+00,-2.66E+01,-4.13E-08
13,0.1,4.99E+02,4.15E+02,-4.48E-01,-1.22E+01,-2.93E+01,2.52E-09
14,0.11,4.99E+02,4.15E+02,-5.38E-01,-8.86E+00,-3.20E+01,-3.83E-11
15,0.12,4.99E+02,4.15E+02,-6.30E-01,-9.58E+00,-3.46E+01,-4.97E-17
16,0.12,4.99E+02,4.15E+02,-6.30E-01,-9.59E+00,-3.46E+01,4.53E-10
17,0.13,4.99E+02,4.15E+02,-7.31E-01,-1.03E+01,-3.71E+01,1.28E-09
18,0.14,4.99E+02,4.15E+02,-8.40E-01,-1.10E+01,-3.96E+01,-1.09E-09
19,0.15,4.99E+02,4.15E+02,-9.54E-01,-1.15E+01,-4.21E+01,3.37E-09
20,0.16,4.99E+02,4.15E+02,-1.07E+00,-1.21E+01,-4.45E+01,-1.55E-18
21,0.16,4.99E+02,4.15E+02,-1.07E+00,-1.22E+01,-4.45E+01,5.73E-08
22,0.17,4.99E+02,4.15E+02,-1.20E+00,-1.33E+01,-4.68E+01,4.16E-08
23,0.18,4.99E+02,4.16E+02,-1.33E+00,-1.39E+01,-4.91E+01,-5.10E-08
24,0.19,4.99E+02,4.16E+02,-1.47E+00,-1.45E+01,-5.14E+01,4.05E-08
25,0.2,4.99E+02,4.16E+02,-1.62E+00,-1.49E+01,-5.36E+01,-6.21E-18
26,0.2,4.99E+02,4.16E+02,-1.62E+00,-1.51E+01,-5.36E+01,4.64E-08
27,0.21,4.99E+02,4.16E+02,-1.79E+00,-2.10E+01,-5.58E+01,2.08E-09
28,0.22,4.99E+02,4.16E+02,-1.96E+00,-1.69E+01,-5.79E+01,3.06E-08
29,0.23,4.99E+02,4.16E+02,-2.14E+00,-1.66E+01,-5.99E+01,-5.67E-08
30,0.24,4.99E+02,4.16E+02,-2.31E+00,-1.73E+01,-6.19E+01,6.21E-18
31,0.24,4.99E+02,4.16E+02,-2.32E+00,-1.75E+01,-6.20E+01,4.71E-08
32,0.25,4.99E+02,4.16E+02,-2.49E+00,-1.79E+01,-6.39E+01,-1.15E-09
33,0.26,4.99E+02,4.17E+02,-2.67E+00,-1.83E+01,-6.58E+01,4.60E-08
34,0.27,4.99E+02,4.17E+02,-2.86E+00,-1.89E+01,-6.77E+01,1.62E-09
35,0.28,4.99E+02,4.17E+02,-3.05E+00,-1.98E+01,-6.95E+01,-9.94E-17
36,0.28,4.99E+02,4.17E+02,-3.05E+00,-1.95E+01,-6.96E+01,2.22E-09
37,0.29,4.99E+02,4.17E+02,-3.25E+00,-1.97E+01,-7.14E+01,-7.81E-09
38,0.3,4.99E+02,4.17E+02,-3.45E+00,-2.10E+01,-7.31E+01,-5.81E-08
39,0.31,4.99E+02,4.17E+02,-3.66E+00,-2.11E+01,-7.48E+01,-4.39E-08
40,0.32,4.99E+02,4.17E+02,-3.86E+00,-2.12E+01,-7.64E+01,0.00E+00
41,0.32,4.99E+02,4.17E+02,-3.87E+00,-2.13E+01,-7.64E+01,3.49E-08
42,0.33,4.99E+02,4.18E+02,-4.08E+00,-2.18E+01,-7.81E+01,-5.53E-08
43,0.34,4.99E+02,4.18E+02,-4.30E+00,-2.20E+01,-7.96E+01,-9.73E-09
44,0.35,4.99E+02,4.18E+02,-4.53E+00,-2.26E+01,-8.11E+01,-5.13E-08
45,0.36,4.99E+02,4.18E+02,-4.75E+00,-2.30E+01,-8.26E+01,0.00E+00
46,0.36,4.99E+02,4.18E+02,-4.76E+00,-2.32E+01,-8.26E+01,1.45E-09
47,0.37,4.99E+02,4.18E+02,-4.99E+00,-2.34E+01,-8.41E+01,-5.89E-09
48,0.38,4.99E+02,4.19E+02,-5.23E+00,-2.38E+01,-8.55E+01,-4.88E-08
49,0.39,4.99E+02,4.19E+02,-5.47E+00,-2.44E+01,-8.68E+01,-3.45E-08
50,0.4,4.99E+02,4.19E+02,-5.71E+00,-2.46E+01,-8.81E+01,0.00E+00
51,0.4,4.99E+02,4.19E+02,-5.71E+00,-2.44E+01,-8.81E+01,6.03E-08
52,0.41,4.99E+02,4.19E+02,-5.96E+00,-2.50E+01,-8.94E+01,-2.59E-08
53,0.42,4.99E+02,4.19E+02,-6.21E+00,-2.60E+01,-9.06E+01,4.56E-08
54,0.43,4.99E+02,4.20E+02,-6.47E+00,-2.60E+01,-9.18E+01,-4.92E-08
55,0.44,4.99E+02,4.20E+02,-6.72E+00,-2.60E+01,-9.29E+01,2.48E-17
56,0.44,4.99E+02,4.20E+02,-6.73E+00,-2.61E+01,-9.29E+01,4.38E-08
57,0.45,4.99E+02,4.20E+02,-6.99E+00,-2.63E+01,-9.40E+01,2.85E-09
58,0.46,4.99E+02,4.20E+02,-7.26E+00,-2.65E+01,-9.51E+01,6.32E-08
59,0.47,4.99E+02,4.20E+02,-7.52E+00,-2.70E+01,-9.61E+01,5.33E-08
60,0.48,4.99E+02,4.21E+02,-7.79E+00,-2.72E+01,-9.71E+01,2.48E-17
61,0.48,4.99E+02,4.21E+02,-7.80E+00,-2.72E+01,-9.71E+01,4.50E-08
62,0.49,4.99E+02,4.21E+02,-8.07E+00,-2.74E+01,-9.81E+01,2.28E-09
63,0.5,4.99E+02,4.21E+02,-8.35E+00,-2.83E+01,-9.90E+01,-4.17E-08
64,0.51,4.99E+02,4.21E+02,-8.63E+00,-2.81E+01,-9.98E+01,-4.56E-08
65,0.52,4.99E+02,4.22E+02,-8.90E+00,-2.83E+01,-1.01E+02,1.24E-17
66,0.52,4.99E+02,4.22E+02,-8.91E+00,-2.82E+01,-1.01E+02,6.38E-09
67,0.53,4.99E+02,4.22E+02,-9.19E+00,-2.85E+01,-1.01E+02,5.04E-08
68,0.54,4.99E+02,4.22E+02,-9.48E+00,-2.87E+01,-1.02E+02,8.72E-09
69,0.55,4.99E+02,4.22E+02,-9.77E+00,-2.88E+01,-1.03E+02,1.10E-08
70,0.56,4.99E+02,4.22E+02,-1.00E+01,-2.92E+01,-1.04E+02,1.24E-17
71,0.56,4.99E+02,4.22E+02,-1.01E+01,-2.92E+01,-1.04E+02,3.02E-08
72,0.57,4.99E+02,4.23E+02,-1.04E+01,-2.90E+01,-1.04E+02,7.45E-09
73,0.58,5.00E+02,4.23E+02,-1.06E+01,-2.96E+01,-1.05E+02,-9.59E-09
74,0.59,5.00E+02,4.23E+02,-1.09E+01,-3.06E+01,-1.05E+02,6.17E-08
75,0.6,5.00E+02,4.23E+02,-1.12E+01,-2.99E+01,-1.06E+02,0.00E+00
76,0.6,5.00E+02,4.23E+02,-1.12E+01,-2.96E+01,-1.06E+02,6.27E-08
77,0.61,5.00E+02,4.24E+02,-1.15E+01,-2.99E+01,-1.06E+02,6.39E-08
78,0.62,5.00E+02,4.24E+02,-1.19E+01,-3.02E+01,-1.07E+02,-5.52E-08
79,0.63,5.00E+02,4.24E+02,-1.22E+01,-3.08E+01,-1.07E+02,-8.49E-09
80,0.64,5.00E+02,4.24E+02,-1.25E+01,-3.06E+01,-1.07E+02,0.00E+00
81,0.64,5.00E+02,4.24E+02,-1.25E+01,-3.08E+01,-1.07E+02,-4.10E-08
82,0.65,5.00E+02,4.25E+02,-1.28E+01,-3.05E+01,-1.08E+02,1.48E-09
83,0.66,5.00E+02,4.25E+02,-1.31E+01,-3.10E+01,-1.08E+02,1.73E-09
84,0.67,5.00E+02,4.25E+02,-1.34E+01,-3.08E+01,-1.08E+02,3.72E-09
85,0.68,5.00E+02,4.25E+02,-1.37E+01,-3.10E+01,-1.08E+02,0.00E+00
86,0.68,5.00E+02,4.25E+02,-1.37E+01,-3.09E+01,-1.08E+02,-4.94E-08
87,0.69,5.00E+02,4.25E+02,-1.40E+01,-3.11E+01,-1.09E+02,4.36E-08
88,0.7,5.00E+02,4.26E+02,-1.43E+01,-3.15E+01,-1.09E+02,2.20E-09
89,0.71,5.00E+02,4.26E+02,-1.46E+01,-3.15E+01,-1.09E+02,4.55E-08
90,0.72,5.00E+02,4.26E+02,-1.49E+01,-3.13E+01,-1.09E+02,0.00E+00
91,0.72,5.00E+02,4.26E+02,-1.50E+01,-3.12E+01,-1.09E+02,-3.06E-09
92,0.73,5.00E+02,4.26E+02,-1.53E+01,-3.13E+01,-1.09E+02,-1.32E-08
93,0.74,5.00E+02,4.27E+02,-1.56E+01,-3.12E+01,-1.09E+02,-1.42E-08
94,0.75,5.00E+02,4.27E+02,-1.59E+01,-3.17E+01,-1.08E+02,1.56E-08
95,0.76,5.00E+02,4.27E+02,-1.62E+01,-3.14E+01,-1.08E+02,2.48E-17
96,0.76,5.00E+02,4.27E+02,-1.62E+01,-3.13E+01,-1.08E+02,3.72E-08
97,0.77,5.01E+02,4.27E+02,-1.65E+01,-3.63E+01,-1.08E+02,3.72E-08
98,0.78,5.01E+02,4.28E+02,-1.69E+01,-3.12E+01,-1.08E+02,-2.15E-08
99,0.79,5.01E+02,4.28E+02,-1.72E+01,-3.12E+01,-1.07E+02,-1.36E-08
100,0.8,5.01E+02,4.28E+02,-1.75E+01,-3.14E+01,-1.07E+02,-4.97E-17
101,0.8,5.01E+02,4.28E+02,-1.75E+01,-3.15E+01,-1.07E+02,-9.54E-09
102,0.81,5.01E+02,4.28E+02,-1.78E+01,-3.11E+01,-1.07E+02,1.45E-08
103,0.82,5.01E+02,4.29E+02,-1.81E+01,-3.14E+01,-1.06E+02,1.81E-08
104,0.83,5.01E+02,4.29E+02,-1.84E+01,-3.10E+01,-1.06E+02,-3.57E-08
105,0.84,5.01E+02,4.29E+02,-1.87E+01,-3.17E+01,-1.05E+02,0.00E+00
106,0.84,5.01E+02,4.29E+02,-1.87E+01,-3.14E+01,-1.05E+02,6.63E-10
107,0.85,5.01E+02,4.29E+02,-1.91E+01,-3.17E+01,-1.05E+02,-2.66E-09
108,0.86,5.01E+02,4.30E+02,-1.94E+01,-3.07E+01,-1.04E+02,-3.59E-08
109,0.87,5.01E+02,4.30E+02,-1.97E+01,-3.01E+01,-1.04E+02,-2.10E-07
110,0.88,5.01E+02,4.30E+02,-2.00E+01,-3.06E+01,-1.03E+02,-4.97E-17
111,0.88,5.01E+02,4.30E+02,-2.00E+01,-3.15E+01,-1.03E+02,-4.51E-08
112,0.89,5.01E+02,4.30E+02,-2.03E+01,-3.03E+01,-1.02E+02,-4.75E-08
113,0.9,5.01E+02,4.30E+02,-2.06E+01,-3.01E+01,-1.01E+02,2.88E-09
114,0.91,5.02E+02,4.31E+02,-2.09E+01,-2.99E+01,-1.01E+02,4.85E-08
115,0.92,5.02E+02,4.31E+02,-2.12E+01,-2.97E+01,-9.98E+01,0.00E+00
116,0.92,5.02E+02,4.31E+02,-2.12E+01,-2.97E+01,-9.98E+01,-1.16E-09
117,0.93,5.02E+02,4.31E+02,-2.15E+01,-2.96E+01,-9.89E+01,2.01E-09
118,0.94,5.02E+02,4.31E+02,-2.18E+01,-2.93E+01,-9.80E+01,-2.12E-09
119,0.951,5.02E+02,4.32E+02,-2.21E+01,-2.91E+01,-9.70E+01,-4.91E-08
120,0.96,5.02E+02,4.32E+02,-2.23E+01,-2.88E+01,-9.61E+01,0.00E+00
121,0.961,5.02E+02,4.32E+02,-2.24E+01,-2.88E+01,-9.60E+01,-1.83E-08
122,0.971,5.02E+02,4.32E+02,-2.26E+01,-2.86E+01,-9.50E+01,-3.27E-09
123,0.981,5.02E+02,4.32E+02,-2.29E+01,-2.80E+01,-9.39E+01,3.92E-08
124,0.991,5.02E+02,4.32E+02,-2.32E+01,-2.81E+01,-9.28E+01,6.35E-10
125,1,5.02E+02,4.33E+02,-2.35E+01,-2.78E+01,-9.17E+01,0.00E+00
126,1.001,5.02E+02,4.33E+02,-2.35E+01,-2.78E+01,-9.17E+01,4.40E-08
127,1.011,5.02E+02,4.33E+02,-2.38E+01,-2.75E+01,-9.05E+01,-2.12E-08
128,1.021,5.02E+02,4.33E+02,-2.40E+01,-2.72E+01,-8.92E+01,-6.46E-08
129,1.031,5.03E+02,4.33E+02,-2.43E+01,-2.68E+01,-8.80E+01,-7.00E-08
130,1.04,5.03E+02,4.33E+02,-2.46E+01,-2.65E+01,-8.68E+01,0.00E+00
131,1.041,5.03E+02,4.33E+02,-2.46E+01,-2.64E+01,-8.67E+01,-3.99E-08
132,1.051,5.03E+02,4.34E+02,-2.48E+01,-2.58E+01,-8.54E+01,-3.80E-09
133,1.061,5.03E+02,4.34E+02,-2.51E+01,-2.57E+01,-8.40E+01,-2.86E-08
134,1.071,5.03E+02,4.34E+02,-2.54E+01,-2.54E+01,-8.27E+01,1.01E-09
135,1.08,5.03E+02,4.34E+02,-2.56E+01,-2.51E+01,-8.14E+01,1.49E-16
136,1.081,5.03E+02,4.34E+02,-2.56E+01,-2.48E+01,-8.13E+01,6.57E-08
137,1.091,5.03E+02,4.34E+02,-2.59E+01,-2.47E+01,-7.99E+01,-2.97E-09
138,1.101,5.03E+02,4.34E+02,-2.61E+01,-2.43E+01,-7.85E+01,-7.16E-08
139,1.111,5.03E+02,4.35E+02,-2.63E+01,-2.40E+01,-7.71E+01,-2.93E-08
140,1.12,5.03E+02,4.35E+02,-2.66E+01,-2.35E+01,-7.58E+01,7.45E-17
141,1.121,5.03E+02,4.35E+02,-2.66E+01,-2.35E+01,-7.57E+01,-2.25E-08
142,1.131,5.03E+02,4.35E+02,-2.68E+01,-2.30E+01,-7.43E+01,-8.87E-09
143,1.141,5.04E+02,4.35E+02,-2.70E+01,-2.27E+01,-7.28E+01,-3.72E-08
144,1.151,5.04E+02,4.35E+02,-2.73E+01,-2.23E+01,-7.14E+01,-5.05E-08
145,1.16,5.04E+02,4.35E+02,-2.75E+01,-2.18E+01,-7.01E+01,0.00E+00
146,1.161,5.04E+02,4.35E+02,-2.75E+01,-2.19E+01,-7.00E+01,-6.90E-08
147,1.171,5.04E+02,4.36E+02,-2.77E+01,-2.18E+01,-6.86E+01,2.30E-08
148,1.181,5.04E+02,4.36E+02,-2.79E+01,-2.11E+01,-6.72E+01,-2.56E-08
149,1.191,5.04E+02,4.36E+02,-2.81E+01,-2.07E+01,-6.58E+01,-2.66E-08
150,1.2,5.04E+02,4.36E+02,-2.84E+01,-2.04E+01,-6.45E+01,9.94E-17
151,1.201,5.04E+02,4.36E+02,-2.84E+01,-2.04E+01,-6.44E+01,1.96E-08
152,1.211,5.04E+02,4.36E+02,-2.86E+01,-1.97E+01,-6.31E+01,1.87E-09
153,1.221,5.04E+02,4.36E+02,-2.88E+01,-1.96E+01,-6.17E+01,2.29E-08
154,1.231,5.04E+02,4.37E+02,-2.90E+01,-1.91E+01,-6.04E+01,7.03E-08
155,1.24,5.04E+02,4.37E+02,-2.91E+01,-1.87E+01,-5.92E+01,0.00E+00
156,1.241,5.04E+02,4.37E+02,-2.91E+01,-1.90E+01,-5.91E+01,-2.40E-08
157,1.251,5.04E+02,4.37E+02,-2.93E+01,-1.84E+01,-5.79E+01,2.46E-08
158,1.261,5.04E+02,4.37E+02,-2.95E+01,-1.81E+01,-5.67E+01,-2.31E-08
159,1.271,5.04E+02,4.37E+02,-2.97E+01,-1.78E+01,-5.55E+01,2.31E-08
160,1.28,5.05E+02,4.37E+02,-2.99E+01,-1.74E+01,-5.44E+01,0.00E+00
161,1.281,5.05E+02,4.37E+02,-2.99E+01,-1.74E+01,-5.43E+01,-4.19E-08
162,1.291,5.05E+02,4.37E+02,-3.00E+01,-1.71E+01,-5.32E+01,5.86E-08
163,1.301,5.05E+02,4.37E+02,-3.02E+01,-1.70E+01,-5.21E+01,7.30E-08
164,1.311,5.05E+02,4.38E+02,-3.04E+01,-1.65E+01,-5.10E+01,-1.96E-08
165,1.32,5.05E+02,4.38E+02,-3.05E+01,-1.62E+01,-5.01E+01,3.73E-17
166,1.321,5.05E+02,4.38E+02,-3.05E+01,-1.61E+01,-5.00E+01,3.46E-09
167,1.331,5.05E+02,4.38E+02,-3.07E+01,-1.59E+01,-4.91E+01,7.49E-08
168,1.341,5.05E+02,4.38E+02,-3.09E+01,-1.61E+01,-4.82E+01,7.30E-09
169,1.351,5.05E+02,4.38E+02,-3.10E+01,-1.54E+01,-4.73E+01,2.30E-08
170,1.36,5.05E+02,4.38E+02,-3.12E+01,-1.44E+01,-4.66E+01,-2.48E-17
171,1.361,5.05E+02,4.38E+02,-3.12E+01,-1.51E+01,-4.65E+01,-4.17E-08
172,1.371,5.05E+02,4.38E+02,-3.13E+01,-1.49E+01,-4.57E+01,-2.55E-08
173,1.381,5.05E+02,4.38E+02,-3.15E+01,-1.47E+01,-4.51E+01,-4.80E-08
174,1.391,5.05E+02,4.38E+02,-3.16E+01,-1.45E+01,-4.44E+01,4.75E-08
175,1.4,5.05E+02,4.38E+02,-3.18E+01,-1.44E+01,-4.39E+01,0.00E+00
176,1.401,5.05E+02,4.38E+02,-3.18E+01,-1.41E+01,-4.38E+01,6.64E-08
177,1.411,5.05E+02,4.39E+02,-3.19E+01,-1.42E+01,-4.33E+01,2.63E-09
178,1.421,5.05E+02,4.39E+02,-3.20E+01,-1.42E+01,-4.29E+01,1.26E-08
179,1.431,5.05E+02,4.39E+02,-3.22E+01,-1.39E+01,-4.25E+01,6.30E-08
180,1.44,5.06E+02,4.39E+02,-3.23E+01,-1.39E+01,-4.22E+01,0.00E+00
181,1.441,5.06E+02,4.39E+02,-3.23E+01,-1.40E+01,-4.22E+01,1.48E-08
