Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
56,0.520,4.9534E+03,5.2027E+03,2.4808E+01,-2.2233E-03,-9.4403E+01,-1.8154E+02
57,0.521,4.9530E+03,5.2034E+03,2.4862E+01,-5.3783E-02,-9.4578E+01,-1.8146E+02
58,0.531,4.9502E+03,5.2095E+03,2.5314E+01,-9.3067E-03,-9.6050E+01,-1.8080E+02
59,0.541,4.9473E+03,5.2156E+03,2.5754E+01,-2.7526E-02,-9.7505E+01,-1.8013E+02
60,0.551,4.9443E+03,5.2217E+03,2.6185E+01,-1.0400E-02,-9.8950E+01,-1.7947E+02
61,0.560,4.9417E+03,5.2270E+03,2.6550E+01,-3.0003E-02,-1.0019E+02,-1.7891E+02
62,0.562,4.9412E+03,5.2280E+03,2.6618E+01,-9.6190E-02,-1.0042E+02,-1.7880E+02
63,0.572,4.9381E+03,5.2341E+03,2.7028E+01,2.7193E-03,-1.0184E+02,-1.7816E+02
64,0.582,4.9349E+03,5.2403E+03,2.7432E+01,-5.4182E-02,-1.0326E+02,-1.7751E+02
65,0.592,4.9317E+03,5.2465E+03,2.7826E+01,-1.6461E-01,-1.0467E+02,-1.7687E+02
66,0.600,4.9290E+03,5.2515E+03,2.8141E+01,-4.6439E-02,-1.0582E+02,-1.7636E+02
67,0.602,4.9284E+03,5.2526E+03,2.8209E+01,-1.9184E-01,-1.0607E+02,-1.7625E+02
68,0.612,4.9249E+03,5.2590E+03,2.8592E+01,-1.3936E-01,-1.0749E+02,-1.7561E+02
69,0.622,4.9215E+03,5.2652E+03,2.8955E+01,-9.7791E-03,-1.0887E+02,-1.7500E+02
70,0.632,4.9180E+03,5.2715E+03,2.9308E+01,-3.0731E-03,-1.1024E+02,-1.7440E+02
71,0.640,4.9153E+03,5.2764E+03,2.9580E+01,-8.4820E-02,-1.1132E+02,-1.7393E+02
72,0.642,4.9145E+03,5.2777E+03,2.9653E+01,-5.3610E-02,-1.1161E+02,-1.7381E+02
73,0.652,4.9109E+03,5.2840E+03,2.9989E+01,-9.8873E-03,-1.1298E+02,-1.7323E+02
74,0.662,4.9072E+03,5.2903E+03,3.0313E+01,-3.8550E-02,-1.1433E+02,-1.7266E+02
75,0.672,4.9035E+03,5.2966E+03,3.0629E+01,2.2619E-02,-1.1569E+02,-1.7210E+02
76,0.680,4.9006E+03,5.3015E+03,3.0868E+01,-1.1204E-01,-1.1674E+02,-1.7167E+02
77,0.682,4.8998E+03,5.3029E+03,3.0935E+01,5.9144E-02,-1.1704E+02,-1.7155E+02
78,0.692,4.8959E+03,5.3093E+03,3.1233E+01,-2.1670E-02,-1.1839E+02,-1.7101E+02
79,0.702,4.8920E+03,5.3156E+03,3.1521E+01,-1.3506E-02,-1.1974E+02,-1.7049E+02
80,0.712,4.8881E+03,5.3220E+03,3.1799E+01,-3.7718E-02,-1.2109E+02,-1.6998E+02
81,0.720,4.8851E+03,5.3269E+03,3.2004E+01,-4.4253E-03,-1.2211E+02,-1.6960E+02
82,0.722,4.8841E+03,5.3284E+03,3.2067E+01,-3.1870E-02,-1.2243E+02,-1.6948E+02
83,0.732,4.8801E+03,5.3348E+03,3.2326E+01,1.0109E-02,-1.2378E+02,-1.6900E+02
84,0.742,4.8760E+03,5.3412E+03,3.2575E+01,-6.2319E-02,-1.2513E+02,-1.6854E+02
85,0.752,4.8718E+03,5.3477E+03,3.2815E+01,-1.5594E-03,-1.2648E+02,-1.6808E+02
86,0.760,4.8687E+03,5.3526E+03,3.2989E+01,1.9477E-02,-1.2749E+02,-1.6775E+02
87,0.763,4.8676E+03,5.3542E+03,3.3047E+01,-9.3875E-04,-1.2784E+02,-1.6765E+02
88,0.773,4.8634E+03,5.3607E+03,3.3267E+01,4.0462E-02,-1.2919E+02,-1.6722E+02
89,0.783,4.8591E+03,5.3672E+03,3.3478E+01,-7.5864E-03,-1.3055E+02,-1.6682E+02
90,0.793,4.8548E+03,5.3737E+03,3.3679E+01,-1.7718E-02,-1.3191E+02,-1.6643E+02
91,0.800,4.8515E+03,5.3786E+03,3.3823E+01,1.2444E-02,-1.3292E+02,-1.6615E+02
92,0.803,4.8504E+03,5.3803E+03,3.3871E+01,-7.8074E-03,-1.3328E+02,-1.6606E+02
93,0.813,4.8460E+03,5.3869E+03,3.4054E+01,9.0747E-04,-1.3465E+02,-1.6570E+02
94,0.823,4.8415E+03,5.3935E+03,3.4228E+01,-6.7048E-02,-1.3603E+02,-1.6536E+02
95,0.833,4.8370E+03,5.4001E+03,3.4392E+01,2.3625E-01,-1.3741E+02,-1.6504E+02
96,0.840,4.8336E+03,5.4050E+03,3.4508E+01,-1.1584E-02,-1.3844E+02,-1.6481E+02
97,0.843,4.8322E+03,5.4071E+03,3.4555E+01,4.2048E-01,-1.3887E+02,-1.6472E+02
98,0.853,4.8276E+03,5.4137E+03,3.4699E+01,-6.4289E-03,-1.4028E+02,-1.6443E+02
