Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0.000,1.6100E+02,9.1000E+01,2.5569E-14,0.0000E+00,0.0000E+00,0.0000E+00
2,0.010,1.6101E+02,9.0985E+01,1.2477E-03,2.0620E-01,-1.3428E+00,-1.3428E+00
3,0.020,1.6103E+02,9.0957E+01,1.1089E-03,4.3042E-03,-2.8411E+00,-2.8411E+00
4,0.030,1.6105E+02,9.0922E+01,9.0078E-04,9.5523E-03,-4.2610E+00,-4.2610E+00
5,0.040,1.6108E+02,9.0879E+01,6.4696E-04,2.0704E-02,-5.6744E+00,-5.6744E+00
6,0.040,1.6108E+02,9.0879E+01,6.4643E-04,2.0722E-02,-5.6772E+00,-5.6772E+00
7,0.050,1.6110E+02,9.0829E+01,3.8291E-04,4.1427E-02,-7.0905E+00,-7.0905E+00
8,0.060,1.6112E+02,9.0776E+01,1.5746E-04,-1.7949E-01,-8.5000E+00,-8.5000E+00
9,0.070,1.6114E+02,9.0737E+01,2.8272E-05,-8.5139E-02,-9.9073E+00,-9.9073E+00
10,0.080,1.6118E+02,9.0702E+01,6.8510E-05,-2.3527E+00,-1.1290E+01,-1.1290E+01
11,0.080,1.6118E+02,9.0702E+01,6.6972E-05,-2.3267E+00,-1.1281E+01,-1.1281E+01
12,0.090,1.6123E+02,9.0752E+01,3.4644E-04,2.9333E-04,-1.2706E+01,-1.2706E+01
13,0.100,1.6129E+02,9.0809E+01,9.6267E-04,-3.1598E-02,-1.4093E+01,-1.4093E+01
14,0.110,1.6135E+02,9.0875E+01,8.1107E-04,1.5925E-02,-1.5625E+01,-1.5625E+01
15,0.120,1.6141E+02,9.0950E+01,2.1800E-04,-2.8770E-02,-1.6979E+01,-1.6979E+01
16,0.120,1.6141E+02,9.0950E+01,2.1970E-04,-2.3913E-02,-1.7012E+01,-1.7012E+01
17,0.130,1.6149E+02,9.1029E+01,1.0963E-04,-1.2420E-04,-1.8389E+01,-1.8389E+01
18,0.140,1.6157E+02,9.1112E+01,6.0556E-04,-8.9791E-02,-1.9758E+01,-1.9758E+01
19,0.150,1.6166E+02,9.1203E+01,8.3825E-04,9.9655E-03,-2.1309E+01,-2.1309E+01
20,0.160,1.6174E+02,9.1302E+01,6.1310E-05,3.4629E-02,-2.2605E+01,-2.2605E+01
21,0.160,1.6175E+02,9.1303E+01,5.9622E-05,1.6301E-02,-2.2650E+01,-2.2650E+01
22,0.170,1.6184E+02,9.1410E+01,1.5155E-04,1.8796E-02,-2.4020E+01,-2.4020E+01
23,0.180,1.6194E+02,9.1523E+01,1.2923E-03,1.2367E-01,-2.5588E+01,-2.5588E+01
24,0.190,1.6207E+02,9.1619E+01,1.8543E-04,8.3579E-01,-2.6921E+01,-2.6921E+01
25,0.200,1.6221E+02,9.1696E+01,3.0168E-04,9.7749E-01,-2.8228E+01,-2.8228E+01
26,0.200,1.6221E+02,9.1696E+01,3.0803E-04,9.7847E-01,-2.8238E+01,-2.8238E+01
27,0.210,1.6235E+02,9.1797E+01,8.3697E-04,5.6850E-01,-2.9826E+01,-2.9826E+01
28,0.220,1.6248E+02,9.1929E+01,2.0662E-06,-2.6714E-02,-3.1231E+01,-3.1231E+01
29,0.230,1.6262E+02,9.2074E+01,8.5890E-04,1.7716E-02,-3.2429E+01,-3.2429E+01
30,0.240,1.6276E+02,9.2218E+01,1.6227E-04,-9.8150E-03,-3.3996E+01,-3.3996E+01
31,0.240,1.6276E+02,9.2220E+01,1.5409E-04,1.6906E-02,-3.4024E+01,-3.4024E+01
32,0.250,1.6291E+02,9.2371E+01,4.9989E-04,-4.0647E-01,-3.5249E+01,-3.5249E+01
33,0.260,1.6306E+02,9.2528E+01,3.2029E-04,5.8234E-03,-3.6864E+01,-3.6864E+01
34,0.270,1.6323E+02,9.2691E+01,4.4219E-04,1.5881E-02,-3.7988E+01,-3.7988E+01
35,0.280,1.6339E+02,9.2862E+01,2.7190E-04,-1.9624E-04,-3.9725E+01,-3.9725E+01
36,0.280,1.6339E+02,9.2864E+01,2.5605E-04,2.5732E-03,-3.9761E+01,-3.9761E+01
37,0.290,1.6356E+02,9.3048E+01,4.9159E-04,-2.2581E+00,-4.0912E+01,-4.0912E+01
38,0.300,1.6372E+02,9.3243E+01,1.0309E-04,9.1839E-02,-4.2433E+01,-4.2433E+01
39,0.310,1.6391E+02,9.3415E+01,9.0781E-04,-4.3444E-03,-4.3694E+01,-4.3694E+01
40,0.320,1.6410E+02,9.3612E+01,7.8047E-05,2.3918E-01,-4.5252E+01,-4.5252E+01
41,0.320,1.6410E+02,9.3615E+01,6.3953E-05,3.1069E-01,-4.5279E+01,-4.5279E+01
42,0.330,1.6430E+02,9.3814E+01,7.8252E-04,-2.6411E-01,-4.6728E+01,-4.6728E+01
43,0.340,1.6450E+02,9.4022E+01,2.8382E-04,3.1394E-03,-4.7959E+01,-4.7959E+01
44,0.350,1.6472E+02,9.4235E+01,6.6817E-05,-2.5727E-02,-4.9506E+01,-4.9506E+01
45,0.360,1.6493E+02,9.4452E+01,1.1702E-03,5.3076E-04,-5.1134E+01,-5.1134E+01
46,0.360,1.6494E+02,9.4455E+01,1.1307E-03,-3.2385E-02,-5.1165E+01,-5.1165E+01
47,0.370,1.6516E+02,9.4680E+01,2.4206E-04,-6.2249E-03,-5.2222E+01,-5.2222E+01
48,0.380,1.6539E+02,9.4912E+01,9.8335E-05,1.1990E-02,-5.3821E+01,-5.3821E+01
49,0.390,1.6563E+02,9.5141E+01,7.4322E-04,3.9807E-01,-5.5396E+01,-5.5396E+01
50,0.400,1.6587E+02,9.5382E+01,6.2229E-04,2.2429E-02,-5.6372E+01,-5.6372E+01
51,0.400,1.6587E+02,9.5386E+01,6.5746E-04,7.2541E-03,-5.6411E+01,-5.6411E+01
52,0.410,1.6612E+02,9.5641E+01,1.2753E-04,-1.2162E-02,-5.7916E+01,-5.7916E+01
53,0.420,1.6637E+02,9.5898E+01,1.2173E-04,-1.2935E-01,-5.9558E+01,-5.9558E+01
54,0.430,1.6664E+02,9.6152E+01,5.4681E-04,1.5890E-02,-6.0995E+01,-6.0995E+01
55,0.440,1.6690E+02,9.6413E+01,1.0765E-03,-3.7991E-01,-6.1965E+01,-6.1965E+01
56,0.440,1.6691E+02,9.6418E+01,1.1368E-03,-2.0533E-01,-6.1947E+01,-6.1947E+01
57,0.450,1.6719E+02,9.6675E+01,5.3203E-04,-3.9843E-01,-6.3446E+01,-6.3446E+01
58,0.460,1.6747E+02,9.6955E+01,1.3570E-04,2.1757E-02,-6.4976E+01,-6.4976E+01
59,0.470,1.6776E+02,9.7241E+01,3.2352E-05,7.7125E-03,-6.6500E+01,-6.6500E+01
60,0.480,1.6805E+02,9.7529E+01,1.1428E-04,-1.0355E-02,-6.7987E+01,-6.7987E+01
61,0.480,1.6805E+02,9.7534E+01,1.0008E-04,-3.1542E-03,-6.7914E+01,-6.7914E+01
62,0.490,1.6835E+02,9.7834E+01,2.2047E-04,-2.9584E-02,-6.9462E+01,-6.9462E+01
63,0.500,1.6866E+02,9.8139E+01,4.5614E-04,-4.6117E-02,-7.0857E+01,-7.0857E+01
64,0.510,1.6896E+02,9.8457E+01,6.4714E-04,-1.4250E-01,-7.2412E+01,-7.2412E+01
65,0.520,1.6927E+02,9.8771E+01,8.9354E-04,2.7603E-01,-7.3917E+01,-7.3917E+01
66,0.520,1.6928E+02,9.8777E+01,8.2122E-04,5.7340E-02,-7.3792E+01,-7.3792E+01
67,0.530,1.6959E+02,9.9114E+01,9.3317E-04,-5.1599E-02,-7.5219E+01,-7.5219E+01
68,0.540,1.6992E+02,9.9443E+01,9.4493E-04,-7.5334E-02,-7.6702E+01,-7.6702E+01
69,0.550,1.7025E+02,9.9780E+01,8.9388E-04,3.6123E-03,-7.8125E+01,-7.8125E+01
70,0.560,1.7058E+02,1.0012E+02,8.7819E-04,-6.0905E-02,-7.9485E+01,-7.9485E+01
71,0.560,1.7059E+02,1.0012E+02,7.9675E-04,-2.2409E-02,-7.9471E+01,-7.9471E+01
72,0.570,1.7094E+02,1.0047E+02,6.0727E-04,-3.2186E-02,-8.0828E+01,-8.0828E+01
73,0.580,1.7130E+02,1.0082E+02,3.9807E-04,2.6358E-03,-8.2260E+01,-8.2260E+01
74,0.590,1.7166E+02,1.0119E+02,2.0217E-04,5.0934E-02,-8.3554E+01,-8.3554E+01
75,0.600,1.7203E+02,1.0154E+02,9.6769E-05,1.6776E-01,-8.5007E+01,-8.5007E+01
76,0.600,1.7203E+02,1.0155E+02,6.5729E-05,3.5919E-01,-8.4949E+01,-8.4949E+01
77,0.610,1.7242E+02,1.0190E+02,6.6852E-05,5.7870E-01,-8.6268E+01,-8.6268E+01
78,0.620,1.7281E+02,1.0226E+02,1.7858E-04,-8.6869E-03,-8.7495E+01,-8.7495E+01
79,0.630,1.7320E+02,1.0264E+02,6.1952E-04,-3.6927E-02,-8.8849E+01,-8.8849E+01
80,0.640,1.7358E+02,1.0303E+02,1.2699E-03,-3.1084E-03,-9.0789E+01,-9.0789E+01
81,0.640,1.7359E+02,1.0304E+02,1.1214E-03,2.5947E-02,-9.0945E+01,-9.0945E+01
82,0.650,1.7399E+02,1.0343E+02,3.7769E-04,-2.8125E-03,-9.2200E+01,-9.2200E+01
83,0.660,1.7439E+02,1.0384E+02,9.4833E-05,1.3339E-01,-9.3441E+01,-9.3441E+01
84,0.670,1.7480E+02,1.0425E+02,2.3347E-04,-1.2909E-02,-9.4646E+01,-9.4646E+01
85,0.680,1.7520E+02,1.0466E+02,8.5892E-04,5.4676E-02,-9.5810E+01,-9.5810E+01
86,0.680,1.7521E+02,1.0467E+02,9.9942E-04,-6.2073E-02,-9.5724E+01,-9.5724E+01
87,0.690,1.7564E+02,1.0509E+02,5.0104E-04,-2.6436E-03,-9.7908E+01,-9.7908E+01
88,0.700,1.7606E+02,1.0552E+02,3.3581E-05,1.3746E-02,-9.9060E+01,-9.9060E+01
89,0.710,1.7650E+02,1.0596E+02,4.8781E-04,5.1721E-03,-1.0011E+02,-1.0011E+02
90,0.720,1.7693E+02,1.0638E+02,8.5063E-04,2.8687E-03,-1.0229E+02,-1.0229E+02
91,0.720,1.7694E+02,1.0640E+02,7.0603E-04,-2.4004E-04,-1.0222E+02,-1.0222E+02
92,0.730,1.7739E+02,1.0684E+02,7.5772E-06,1.4606E+00,-1.0331E+02,-1.0331E+02
93,0.740,1.7785E+02,1.0729E+02,6.8010E-04,-2.2431E-01,-1.0436E+02,-1.0436E+02
94,0.750,1.7831E+02,1.0775E+02,4.3781E-04,6.0230E-01,-1.0639E+02,-1.0639E+02
95,0.760,1.7876E+02,1.0820E+02,9.5989E-05,1.4400E-03,-1.0735E+02,-1.0735E+02
96,0.760,1.7878E+02,1.0821E+02,1.4568E-04,-1.8342E-02,-1.0737E+02,-1.0737E+02
97,0.770,1.7925E+02,1.0868E+02,1.1036E-03,-1.1609E-01,-1.0933E+02,-1.0933E+02
98,0.780,1.7972E+02,1.0917E+02,3.9138E-05,-6.8393E-01,-1.1036E+02,-1.1036E+02
99,0.790,1.8020E+02,1.0965E+02,1.0481E-03,4.6406E-03,-1.1136E+02,-1.1136E+02
100,0.800,1.8067E+02,1.1013E+02,8.4684E-05,6.9116E-02,-1.1327E+02,-1.1327E+02
101,0.800,1.8069E+02,1.1015E+02,4.0851E-05,-1.4016E-01,-1.1320E+02,-1.1320E+02
102,0.810,1.8119E+02,1.1064E+02,9.2605E-04,2.9972E-05,-1.1413E+02,-1.1413E+02
103,0.820,1.8170E+02,1.1114E+02,7.8912E-05,7.3356E-03,-1.1608E+02,-1.1608E+02
104,0.830,1.8221E+02,1.1165E+02,1.1795E-03,-5.2930E-01,-1.1687E+02,-1.1687E+02
105,0.840,1.8270E+02,1.1214E+02,6.5922E-06,4.3023E-01,-1.1887E+02,-1.1887E+02
106,0.840,1.8272E+02,1.1216E+02,2.8048E-05,5.8456E-01,-1.1882E+02,-1.1882E+02
107,0.850,1.8325E+02,1.1267E+02,8.7981E-04,-6.7141E-05,-1.2066E+02,-1.2066E+02
108,0.860,1.8374E+02,1.1324E+02,1.6170E-04,6.6624E-02,-1.2150E+02,-1.2150E+02
109,0.870,1.8424E+02,1.1380E+02,2.9424E-04,2.8924E-02,-1.2335E+02,-1.2335E+02
110,0.880,1.8476E+02,1.1432E+02,6.4209E-04,-1.3982E-02,-1.2409E+02,-1.2409E+02
111,0.880,1.8478E+02,1.1434E+02,8.7909E-04,-2.3613E-03,-1.2405E+02,-1.2405E+02
112,0.890,1.8532E+02,1.1489E+02,9.1939E-05,-3.0403E-02,-1.2586E+02,-1.2586E+02
113,0.900,1.8587E+02,1.1545E+02,4.7548E-04,1.9551E-01,-1.2771E+02,-1.2771E+02
114,0.910,1.8643E+02,1.1601E+02,7.8261E-04,1.8166E-01,-1.2830E+02,-1.2830E+02
115,0.920,1.8697E+02,1.1655E+02,2.4837E-05,5.0176E-03,-1.3009E+02,-1.3009E+02
116,0.920,1.8700E+02,1.1657E+02,6.6740E-05,8.7766E-02,-1.3007E+02,-1.3007E+02
117,0.930,1.8757E+02,1.1714E+02,1.9692E-04,-1.8898E-01,-1.3184E+02,-1.3184E+02
118,0.940,1.8815E+02,1.1771E+02,1.0119E-03,1.6653E-05,-1.3360E+02,-1.3360E+02
119,0.950,1.8874E+02,1.1829E+02,5.1803E-04,-6.9771E-02,-1.3406E+02,-1.3406E+02
120,0.960,1.8930E+02,1.1886E+02,3.9798E-05,-3.3079E-02,-1.3584E+02,-1.3584E+02
121,0.960,1.8933E+02,1.1889E+02,7.2328E-05,3.2642E-03,-1.3570E+02,-1.3570E+02
122,0.970,1.8992E+02,1.1948E+02,6.2675E-05,1.1370E+00,-1.3744E+02,-1.3744E+02
123,0.980,1.9053E+02,1.2008E+02,5.5242E-04,-3.6618E-01,-1.3906E+02,-1.3906E+02
124,0.990,1.9113E+02,1.2069E+02,1.2536E-03,-1.7471E-02,-1.4081E+02,-1.4081E+02
125,1.000,1.9172E+02,1.2127E+02,4.7270E-04,-6.3922E-01,-1.4119E+02,-1.4119E+02
126,1.000,1.9175E+02,1.2130E+02,7.4428E-04,-6.9535E-01,-1.4104E+02,-1.4104E+02
127,1.010,1.9237E+02,1.2192E+02,2.3899E-04,1.4861E-03,-1.4264E+02,-1.4264E+02
128,1.020,1.9299E+02,1.2255E+02,1.2791E-04,-2.4015E-01,-1.4415E+02,-1.4415E+02
129,1.030,1.9362E+02,1.2318E+02,3.4508E-06,2.4016E-02,-1.4574E+02,-1.4574E+02
130,1.040,1.9423E+02,1.2379E+02,1.7850E-04,-6.3313E-03,-1.4742E+02,-1.4742E+02
131,1.040,1.9426E+02,1.2382E+02,8.7386E-05,-6.6162E-01,-1.4733E+02,-1.4733E+02
132,1.050,1.9490E+02,1.2447E+02,1.1179E-04,2.8477E-02,-1.4883E+02,-1.4883E+02
