Frame,Time,LinearDisplacement6,LinearDisplacement7,AngularDisplacement4,AngularVelocity1,AngularVelocity2,AngularVelocity3
1,0,4.99E+02,4.15E+02,-4.90E-18,0.00E+00,0.00E+00,0.00E+00
2,0.01,4.99E+02,4.14E+02,-1.13E-04,-2.75E-02,2.00E+00,1.10E+00
3,0.02,4.99E+02,4.14E+02,-1.64E-03,-1.70E-01,4.00E+00,2.25E+00
4,0.03,4.99E+02,4.14E+02,-3.58E-03,-2.21E-01,6.00E+00,3.46E+00
5,0.04,4.99E+02,4.14E+02,-6.10E-03,-2.86E-01,8.00E+00,4.71E+00
6,0.04,4.99E+02,4.14E+02,-6.11E-03,-2.86E-01,8.01E+00,4.72E+00
7,0.05,4.99E+02,4.14E+02,-9.34E-03,-3.61E-01,1.00E+01,6.02E+00
8,0.06,4.99E+02,4.14E+02,-1.33E-02,-4.38E-01,1.20E+01,7.38E+00
9,0.07,4.99E+02,4.14E+02,-1.81E-02,-5.17E-01,1.40E+01,8.78E+00
10,0.08,4.99E+02,4.14E+02,-2.37E-02,-6.01E-01,1.60E+01,1.02E+01
11,0.08,4.99E+02,4.14E+02,-2.37E-02,-6.02E-01,1.60E+01,1.02E+01
12,0.09,4.99E+02,4.14E+02,-3.01E-02,-6.72E-01,1.80E+01,1.17E+01
13,0.1,4.99E+02,4.14E+02,-4.43E-02,-1.91E+00,2.00E+01,1.33E+01
14,0.11,4.99E+02,4.14E+02,-6.34E-02,-1.99E+00,2.20E+01,1.48E+01
15,0.12,4.99E+02,4.14E+02,-8.33E-02,-2.12E+00,2.40E+01,1.65E+01
16,0.12,4.99E+02,4.14E+02,-8.34E-02,-2.09E+00,2.40E+01,1.65E+01
17,0.13,4.99E+02,4.14E+02,-1.05E-01,-2.51E+00,2.60E+01,1.81E+01
18,0.14,4.99E+02,4.13E+02,-1.27E-01,-2.26E+00,2.80E+01,1.99E+01
19,0.15,4.99E+02,4.13E+02,-1.51E-01,-2.33E+00,3.00E+01,2.16E+01
20,0.16,4.99E+02,4.13E+02,-1.75E-01,-2.22E+00,3.20E+01,2.34E+01
21,0.16,4.99E+02,4.13E+02,-1.75E-01,-2.17E+00,3.20E+01,2.34E+01
22,0.17,4.99E+02,4.13E+02,-1.99E-01,-2.48E+00,3.40E+01,2.52E+01
23,0.18,4.99E+02,4.13E+02,-2.24E-01,-2.44E+00,3.60E+01,2.71E+01
24,0.19,4.99E+02,4.13E+02,-2.50E-01,-2.32E+00,3.80E+01,2.90E+01
25,0.2,4.99E+02,4.13E+02,-2.76E-01,-2.55E+00,4.00E+01,3.09E+01
26,0.2,4.99E+02,4.13E+02,-2.76E-01,-2.62E+00,4.00E+01,3.09E+01
27,0.21,4.99E+02,4.12E+02,-3.01E-01,-2.45E+00,4.20E+01,3.29E+01
28,0.22,4.99E+02,4.12E+02,-3.26E-01,-2.60E+00,4.40E+01,3.49E+01
29,0.23,4.99E+02,4.12E+02,-3.51E-01,-2.25E+00,4.60E+01,3.69E+01
30,0.24,4.99E+02,4.12E+02,-3.76E-01,-2.56E+00,4.80E+01,3.89E+01
31,0.24,4.99E+02,4.12E+02,-3.76E-01,-2.55E+00,4.80E+01,3.90E+01
32,0.25,4.99E+02,4.12E+02,-4.01E-01,-2.25E+00,5.00E+01,4.11E+01
33,0.26,4.99E+02,4.12E+02,-4.26E-01,-2.26E+00,5.20E+01,4.32E+01
34,0.27,4.99E+02,4.11E+02,-4.55E-01,-2.34E+00,5.40E+01,4.53E+01
35,0.28,4.99E+02,4.11E+02,-4.79E-01,-2.34E+00,5.60E+01,4.75E+01
