time,leftV,rightV
0,0,0
0.001,-0,0
0.002,-0,-0.00700700700700701
0.003,-0,-0.014014014014014
0.004,-0,-0.021021021021021
0.005,-0,-0.028028028028028
0.006,-0,-0.035035035035035
0.007,-0,-0.042042042042042
0.008,-0,-0.049049049049049
0.009,-0,-0.0560560560560561
0.01,-0,-0.0630630630630631
0.011,-0,-0.0700700700700701
0.012,-0,-0.0770770770770771
0.013,-0,-0.0840840840840841
0.014,-0,-0.0910910910910911
0.015,-0,-0.0980980980980981
0.016,-0,-0.105105105105105
0.017,-0,-0.112112112112112
0.018,-0,-0.119119119119119
0.019,-0,-0.126126126126126
0.02,-0,-0.133133133133133
0.021,-0,-0.14014014014014
0.022,-0,-0.147147147147147
0.023,-0,-0.154154154154154
0.024,-0,-0.161161161161161
0.025,-0,-0.168168168168168
0.026,-0,-0.175175175175175
0.027,-0,-0.182182182182182
0.028,-0,-0.189189189189189
0.029,-0,-0.196196196196196
0.03,-0,-0.203203203203203
0.031,-0,-0.21021021021021
0.032,-0,-0.217217217217217
0.033,-0,-0.224224224224224
0.034,-0,-0.231231231231231
0.035,-0,-0.238238238238238
0.036,-0,-0.245245245245245
0.037,-0,-0.252252252252252
0.038,-0,-0.259259259259259
0.039,-0,-0.266266266266266
0.04,-0,-0.273273273273273
0.041,-0,-0.28028028028028
0.042,-0,-0.287287287287287
0.043,-0,-0.294294294294294
0.044,-0,-0.301301301301301
0.045,-0,-0.308308308308308
0.046,-0,-0.315315315315315
0.047,-0,-0.322322322322322
0.048,-0,-0.329329329329329
0.049,-0,-0.336336336336336
0.05,-0,-0.343343343343343
0.051,-0,-0.35035035035035
0.052,-0,-0.357357357357357
0.053,-0,-0.364364364364364
0.054,-0,-0.371371371371371
0.055,-0,-0.378378378378378
0.056,-0,-0.385385385385385
0.057,-0,-0.392392392392392
0.058,-0,-0.399399399399399
0.059,-0,-0.406406406406406
0.06,-0,-0.413413413413413
0.061,-0,-0.42042042042042
0.062,-0,-0.427427427427427
0.063,-0,-0.434434434434434
0.064,-0,-0.441441441441441
0.065,-0,-0.448448448448448
0.066,-0,-0.455455455455455
0.067,-0,-0.462462462462462
0.068,-0,-0.469469469469469
0.069,-0,-0.476476476476476
0.07,-0,-0.483483483483483
0.071,-0,-0.49049049049049
0.072,-0,-0.497497497497497
0.073,-0,-0.504504504504504
0.074,-0,-0.511511511511512
0.075,-0,-0.518518518518518
0.076,-0,-0.525525525525526
0.077,-0,-0.532532532532533
0.078,-0,-0.53953953953954
0.079,-0,-0.546546546546547
0.08,-0,-0.553553553553554
0.081,-0,-0.560560560560561
0.082,-0,-0.567567567567568
0.083,-0,-0.574574574574575
0.084,-0,-0.581581581581582
0.085,-0,-0.588588588588589
