time,leftV,rightV
0,0,0
0.001,0,0
0.002,0.003003003003003,0.002002002002002
0.003,0.00600600600600601,0.004004004004004
0.004,0.00900900900900901,0.00600600600600601
0.005,0.012012012012012,0.00800800800800801
0.006,0.015015015015015,0.01001001001001
0.007,0.018018018018018,0.012012012012012
0.008,0.021021021021021,0.014014014014014
0.009,0.024024024024024,0.016016016016016
0.01,0.027027027027027,0.018018018018018
0.011,0.03003003003003,0.02002002002002
0.012,0.033033033033033,0.022022022022022
0.013,0.036036036036036,0.024024024024024
0.014,0.039039039039039,0.026026026026026
0.015,0.042042042042042,0.028028028028028
0.016,0.045045045045045,0.03003003003003
0.017,0.048048048048048,0.032032032032032
0.018,0.0510510510510511,0.034034034034034
0.019,0.0540540540540541,0.036036036036036
0.02,0.0570570570570571,0.038038038038038
0.021,0.0600600600600601,0.04004004004004
0.022,0.0630630630630631,0.042042042042042
0.023,0.0660660660660661,0.044044044044044
0.024,0.0690690690690691,0.046046046046046
0.025,0.0720720720720721,0.048048048048048
0.026,0.0750750750750751,0.0500500500500501
0.027,0.0780780780780781,0.0520520520520521
0.028,0.0810810810810811,0.0540540540540541
0.029,0.0840840840840841,0.0560560560560561
0.03,0.0870870870870871,0.0580580580580581
0.031,0.0900900900900901,0.0600600600600601
0.032,0.0930930930930931,0.0620620620620621
0.033,0.0960960960960961,0.0640640640640641
0.034,0.0990990990990991,0.0660660660660661
0.035,0.102102102102102,0.0680680680680681
0.036,0.105105105105105,0.0700700700700701
0.037,0.108108108108108,0.0720720720720721
0.038,0.111111111111111,0.0740740740740741
0.039,0.114114114114114,0.0760760760760761
0.04,0.117117117117117,0.0780780780780781
0.041,0.12012012012012,0.0800800800800801
0.042,0.123123123123123,0.0820820820820821
0.043,0.126126126126126,0.0840840840840841
0.044,0.129129129129129,0.0860860860860861
0.045,0.132132132132132,0.0880880880880881
0.046,0.135135135135135,0.0900900900900901
0.047,0.138138138138138,0.0920920920920921
0.048,0.141141141141141,0.0940940940940941
0.049,0.144144144144144,0.0960960960960961
0.05,0.147147147147147,0.0980980980980981
0.051,0.15015015015015,0.1001001001001
0.052,0.153153153153153,0.102102102102102
0.053,0.156156156156156,0.104104104104104
0.054,0.159159159159159,0.106106106106106
0.055,0.162162162162162,0.108108108108108
0.056,0.165165165165165,0.11011011011011
0.057,0.168168168168168,0.112112112112112
0.058,0.171171171171171,0.114114114114114
0.059,0.174174174174174,0.116116116116116
0.06,0.177177177177177,0.118118118118118
0.061,0.18018018018018,0.12012012012012
0.062,0.183183183183183,0.122122122122122
0.063,0.186186186186186,0.124124124124124
0.064,0.189189189189189,0.126126126126126
0.065,0.192192192192192,0.128128128128128
0.066,0.195195195195195,0.13013013013013
