time,leftV,rightV
0,0,0
0.001,0,0
0.002,-0.005005005005005,-0.001001001001001
0.003,-0.01001001001001,-0.002002002002002
0.004,-0.015015015015015,-0.003003003003003
0.005,-0.02002002002002,-0.004004004004004
0.006,-0.025025025025025,-0.005005005005005
0.007,-0.03003003003003,-0.00600600600600601
0.008,-0.035035035035035,-0.00700700700700701
0.009,-0.04004004004004,-0.00800800800800801
0.01,-0.045045045045045,-0.00900900900900901
0.011,-0.0500500500500501,-0.01001001001001
0.012,-0.0550550550550551,-0.011011011011011
0.013,-0.0600600600600601,-0.012012012012012
0.014,-0.0650650650650651,-0.013013013013013
0.015,-0.0700700700700701,-0.014014014014014
0.016,-0.0750750750750751,-0.015015015015015
0.017,-0.0800800800800801,-0.016016016016016
0.018,-0.0850850850850851,-0.017017017017017
0.019,-0.0900900900900901,-0.018018018018018
0.02,-0.0950950950950951,-0.019019019019019
0.021,-0.1001001001001,-0.02002002002002
0.022,-0.105105105105105,-0.021021021021021
0.023,-0.11011011011011,-0.022022022022022
0.024,-0.115115115115115,-0.023023023023023
0.025,-0.12012012012012,-0.024024024024024
0.026,-0.125125125125125,-0.025025025025025
0.027,-0.13013013013013,-0.026026026026026
0.028,-0.135135135135135,-0.027027027027027
0.029,-0.14014014014014,-0.028028028028028
0.03,-0.145145145145145,-0.029029029029029
0.031,-0.15015015015015,-0.03003003003003
0.032,-0.155155155155155,-0.031031031031031
0.033,-0.16016016016016,-0.032032032032032
0.034,-0.165165165165165,-0.033033033033033
0.035,-0.17017017017017,-0.034034034034034
0.036,-0.175175175175175,-0.035035035035035
0.037,-0.18018018018018,-0.036036036036036
0.038,-0.185185185185185,-0.037037037037037
0.039,-0.19019019019019,-0.038038038038038
0.04,-0.195195195195195,-0.039039039039039
0.041,-0.2002002002002,-0.04004004004004
0.042,-0.205205205205205,-0.041041041041041
0.043,-0.21021021021021,-0.042042042042042
0.044,-0.215215215215215,-0.043043043043043
0.045,-0.22022022022022,-0.044044044044044
0.046,-0.225225225225225,-0.045045045045045
0.047,-0.23023023023023,-0.046046046046046
0.048,-0.235235235235235,-0.047047047047047
0.049,-0.24024024024024,-0.048048048048048
0.05,-0.245245245245245,-0.049049049049049
0.051,-0.25025025025025,-0.0500500500500501
0.052,-0.255255255255255,-0.0510510510510511
0.053,-0.26026026026026,-0.0520520520520521
0.054,-0.265265265265265,-0.0530530530530531
0.055,-0.27027027027027,-0.0540540540540541
0.056,-0.275275275275275,-0.0550550550550551
0.057,-0.28028028028028,-0.0560560560560561
0.058,-0.285285285285285,-0.0570570570570571
0.059,-0.29029029029029,-0.0580580580580581
0.06,-0.295295295295295,-0.0590590590590591
0.061,-0.3003003003003,-0.0600600600600601
