leftV1,rightV1,compass_dataX,compass_dataY,compass_dataZ,gyro_dataX,gyro_dataY,gyro_dataZ,lidar_F_data,lidar_R_data,positionX,positionY,positionZ,angleX,angleY,angleZ,angleangle,velocityX,velocityY,velocityZ,gyro2_dataX,gyro2_dataY,gyro2_dataZ
-0,3.01801801801802,-0.693688421198826,0.000205323281381371,-0.771647935886947,-0.0220449276312787,-0.81725842222905,-0.0273172862833127,2530.06839145524,2463.76172106488,-0.0752380264618172,0.0349868940617042,0.0330043353291959,5.6356861180114e-05,0.999999990072422,0.000129147435806257,-2.30597315555758,-0.0204799146466823,-0.000848093223436031,-0.0329096571501671,-0.0227503745468027,-0.843001793067053,-0.0259224038216743
-0,3.00800800800801,-0.647107135591955,0.00018433448790563,-0.788611873856713,-0.0248332948698284,-0.821465550745697,-0.0295752230859276,2622.64083034219,2550.39811553344,-0.0752654347071446,0.0349856485670565,0.0329799890599482,4.77379070177445e-05,0.999999987934747,0.000147822859890337,-2.30681155103786,-0.0202185245269299,-0.000927811860861709,-0.0326612772022582,-0.0248604564849373,-0.838390316583663,-0.0283651678039618
-0,2.997997997998,-0.662732608682981,0.000205341761106719,-0.73489935607695,-0.0291889960949157,-0.763981753549256,-0.0318806422025532,2861.16970101919,2424.50139451869,-0.0752927151448577,0.0349842955648577,0.0329557897658303,3.84105739889572e-05,0.999999985130006,0.000168120838240652,-2.30764703855918,-0.0201088740792849,-0.00100694013439889,-0.0325133095189592,-0.0270567614816102,-0.835481556239294,-0.0307621606217623
-0,2.98798798798799,-0.694950640110105,0.000190101205730989,-0.655444944492996,-0.0305251217385141,-0.825248686284834,-0.0299533871608621,2312.01319372437,2375.89305174172,-0.0753198785182761,0.0349828381149055,0.0329317168711484,2.83662997588954e-05,0.99999998154846,0.000189995876054199,-2.30847952086024,-0.0200103576424716,-0.00108400644753084,-0.0323843697353344,-0.0291728398242057,-0.832475455057086,-0.0331400539523017
-0,2.97797797797798,-0.686417884303544,0.000180730481805062,-0.672653592271981,-0.0311331109617915,-0.794260484740299,-0.0377592064833039,2724.74744142119,2415.63917998373,-0.075346921860294,0.0349812778244251,0.0329077661195928,1.76100030201028e-05,0.999999977071649,0.000213416469805451,-2.30930888011332,-0.0199097750198485,-0.00116003860484629,-0.032258079721835,-0.0312419888947773,-0.829351441782649,-0.0354866836242564
-0,2.96796796796797,-0.630753218714421,0.000175354706653544,-0.775740259441378,0.0349643852482942,-0.835893412047118,0.0451232989667408,2629.60031794492,2122.18907219818,-0.0753744272347782,0.0349830972893075,0.0328815689806216,3.04945410975261e-05,0.999999982210513,0.000186142570063763,-2.31014571407202,-0.0203217617882877,0.00135949822526484,-0.0335447834163111,0.036098584278804,-0.836843194925983,0.0415556352233182
-0,2.95795795795796,-0.68546113588102,0.000197525683769899,-0.720061453633066,0.0340139303017603,-0.807660386208767,0.0380771443040413,2764.60155208986,2313.84092652282,-0.07540183422434,0.0349847859228002,0.0328553708579044,4.19263950595557e-05,0.999999986187448,0.000160833086187117,-2.31097922508977,-0.0202360257974262,0.00125638916844655,-0.0335518614694234,0.0338969438610377,-0.833518845097096,0.0376878867328116
-0,2.94794794794795,-0.670336226549424,0.000184313573810792,-0.730168607600296,0.0275420917745418,-0.862222715990741,0.032808311269995,2822.72354310342,2468.44730604767,-0.0754291099931739,0.034986283060831,0.0328291833921364,5.20619601490046e-05,0.99999998906611,0.000138410014416814,-2.31180941215099,-0.0201269167873247,0.00111388864688222,-0.033561683290731,0.030032856296188,-0.83019352795656,0.033399805567484
-0,2.93793793793794,-0.670710920933332,0.000195667672813079,-0.799105850096951,0.0285070978462085,-0.804392991539525,0.0305643768803475,2599.85419241495,2416.18979147998,-0.0754562540926878,0.0349876039527256,0.0328030080466508,6.10184184409669e-05,0.999999991100721,0.000118639417306618,-2.31263626960406,-0.0200176543942596,0.00098282542966903,-0.0335653049194075,0.0264702941721993,-0.826862793957837,0.0294797810960432
-0,2.92792792792793,-0.66142644984377,0.000175878139114563,-0.730417555654547,0.0217466487795661,-0.867773825722029,0.0266452177596885,2832.61577627356,2529.85520893736,-0.0754832670991088,0.0349887623813384,0.0327768458181936,6.88842252441428e-05,0.999999992495367,0.000101312533529159,-2.31345979290132,-0.019908966029145,0.000861991969076166,-0.0335638327279268,0.0231887917068008,-0.82352770085992,0.025861143766619
-0,2.91791791791792,-0.659444354580848,0.00019180331170676,-0.735949639506394,0.0219951171117739,-0.799506543451981,0.0220767558513813,2742.59999854138,2284.84749717207,-0.0755101495670842,0.0349897696476697,0.0327506974859249,7.57314282395557e-05,0.999999993412155,8.62579877183204e-05,-2.31427997796238,-0.0198008333197682,0.000749544392043187,-0.0335582326073854,0.0201382306752862,-0.820188678124147,0.0224888447966549
-0,2.90790790790791,-0.702146026526425,0.000198720175694658,-0.74408924401098,0.0166970806060858,-0.820883947931721,0.0188094343200308,2601.32345841263,2560.4083176875,-0.0755369020202901,0.034990635059087,0.0327245669645748,8.16192646957396e-05,0.999999993980198,7.33341579358882e-05,-2.31509682118991,-0.0196932309212285,0.000643999159203681,-0.0335459637263828,0.0172785287861217,-0.81684617914707,0.0193194988017211
-0,2.8978978978979,-0.747626900791678,0.00020181288419017,-0.714831083538849,0.0133914964668132,-0.779718894046707,0.0165128709919862,2699.86992866506,2261.52502506247,-0.0755635253832563,0.0349913674666054,0.0326986571074815,8.66024426332965e-05,0.999999994303524,6.239365672589e-05,-2.31591032436587,-0.0195863993712707,0.000544728068136886,-0.0333280710666251,0.0146230109833994,-0.813505565118504,0.0163497541256277
-0,2.88788788788789,-0.677229071381347,0.000196196780342346,-0.718559268130251,0.0120351957471255,-0.775278823188082,0.0146729782875335,2955.45034949186,2451.96015127072,-0.0755900195882208,0.0349919718222181,0.0326729645075309,9.07140907851489e-05,0.999999994460951,5.3376515224859e-05,-2.31672047866266,-0.0194797230260458,0.000449497730201885,-0.0331123404159917,0.0120411469164594,-0.810156193457921,0.0134791204820459
-0,2.87787787787788,-0.703245889786678,0.000198149253495731,-0.734661407932027,0.00918597671976335,-0.805705359994594,0.00965891112734813,2714.46402336795,2466.70170963522,-0.0756163850826034,0.0349924535023681,0.0326474838756435,9.39884542439826e-05,0.999999994515866,4.61999808501971e-05,-2.31752728140818,-0.0193735174435392,0.000358251732373361,-0.0329003186028712,0.00957051653919905,-0.80680421162738,0.010726234003954
