time,leftV,rightV
0,0,0
0.001,0,0
0.002,-0.004004004004004,-0.004004004004004
0.003,-0.00800800800800801,-0.00800800800800801
0.004,-0.012012012012012,-0.012012012012012
0.005,-0.016016016016016,-0.016016016016016
0.006,-0.02002002002002,-0.02002002002002
0.007,-0.024024024024024,-0.024024024024024
0.008,-0.028028028028028,-0.028028028028028
0.009,-0.032032032032032,-0.032032032032032
0.01,-0.036036036036036,-0.036036036036036
0.011,-0.04004004004004,-0.04004004004004
0.012,-0.044044044044044,-0.044044044044044
0.013,-0.048048048048048,-0.048048048048048
0.014,-0.0520520520520521,-0.0520520520520521
0.015,-0.0560560560560561,-0.0560560560560561
0.016,-0.0600600600600601,-0.0600600600600601
0.017,-0.0640640640640641,-0.0640640640640641
0.018,-0.0680680680680681,-0.0680680680680681
0.019,-0.0720720720720721,-0.0720720720720721
0.02,-0.0760760760760761,-0.0760760760760761
0.021,-0.0800800800800801,-0.0800800800800801
0.022,-0.0840840840840841,-0.0840840840840841
0.023,-0.0880880880880881,-0.0880880880880881
0.024,-0.0920920920920921,-0.0920920920920921
0.025,-0.0960960960960961,-0.0960960960960961
0.026,-0.1001001001001,-0.1001001001001
0.027,-0.104104104104104,-0.104104104104104
0.028,-0.108108108108108,-0.108108108108108
0.029,-0.112112112112112,-0.112112112112112
0.03,-0.116116116116116,-0.116116116116116
0.031,-0.12012012012012,-0.12012012012012
0.032,-0.124124124124124,-0.124124124124124
0.033,-0.128128128128128,-0.128128128128128
0.034,-0.132132132132132,-0.132132132132132
0.035,-0.136136136136136,-0.136136136136136
0.036,-0.14014014014014,-0.14014014014014
0.037,-0.144144144144144,-0.144144144144144
0.038,-0.148148148148148,-0.148148148148148
0.039,-0.152152152152152,-0.152152152152152
0.04,-0.156156156156156,-0.156156156156156
0.041,-0.16016016016016,-0.16016016016016
0.042,-0.164164164164164,-0.164164164164164
0.043,-0.168168168168168,-0.168168168168168
0.044,-0.172172172172172,-0.172172172172172
0.045,-0.176176176176176,-0.176176176176176
0.046,-0.18018018018018,-0.18018018018018
0.047,-0.184184184184184,-0.184184184184184
0.048,-0.188188188188188,-0.188188188188188
0.049,-0.192192192192192,-0.192192192192192
0.05,-0.196196196196196,-0.196196196196196
0.051,-0.2002002002002,-0.2002002002002
0.052,-0.204204204204204,-0.204204204204204
0.053,-0.208208208208208,-0.208208208208208
0.054,-0.212212212212212,-0.212212212212212
0.055,-0.216216216216216,-0.216216216216216
0.056,-0.22022022022022,-0.22022022022022
0.057,-0.224224224224224,-0.224224224224224
0.058,-0.228228228228228,-0.228228228228228
0.059,-0.232232232232232,-0.232232232232232
0.06,-0.236236236236236,-0.236236236236236
0.061,-0.24024024024024,-0.24024024024024
